Wall time,Step,Value
1713404180.7718604,40,16.19449806213379
1713404191.8066602,50,17.805402755737305
1713404260.225208,110,16.631988525390625
1713404305.2653348,150,15.594297409057617
1713404316.3497217,160,15.28395938873291
1713404350.6276274,190,15.742167472839355
1713404361.7019281,200,16.595502853393555
1713404372.7003925,210,17.143604278564453
1713404394.4504695,230,17.959760665893555
1713404405.2854054,240,16.03821563720703
1713404439.6436632,270,15.118160247802734
1713404451.0179164,280,17.685897827148438
1713404574.8308327,390,16.96760368347168
1713404597.4799988,410,16.352628707885742
1713404676.9075022,480,16.824338912963867
1713404688.3792021,490,17.543668746948242
1713404699.820954,500,17.574113845825195
1713404722.3102868,520,17.884428024291992
1713404756.445115,550,17.713960647583008
1713404790.9392767,580,16.43770980834961
1713404825.2983916,610,16.195709228515625
1713404836.0966494,620,16.87354850769043
1713404848.05829,630,16.080427169799805
1713404859.1109827,640,16.424152374267578
1713404882.2213514,660,17.90859603881836
1713404893.8618932,670,17.396562576293945
1713404905.566287,680,17.77458381652832
1713404917.0309036,690,17.433895111083984
1713404940.6878338,710,16.216331481933594
1713404952.0806696,720,15.459137916564941
1713405021.4487472,780,17.221996307373047
1713405044.7747757,800,15.941963195800781
1713405080.2953877,830,15.296268463134766
1713405114.8028681,860,16.761518478393555
1713405161.0310717,900,18.05037498474121
1713405276.1487925,1000,16.499765396118164
1713405320.7391076,1040,17.873798370361328
1713405353.7334151,1070,16.75942039489746
1713405365.130636,1080,16.980100631713867
1713405387.7440329,1100,16.5304012298584
1713405466.6485286,1170,16.960744857788086
1713405523.885436,1220,16.35543441772461
1713405571.3053756,1260,17.19904136657715
1713405582.670097,1270,16.146455764770508
1713405605.2674606,1290,17.58207130432129
1713405627.2622132,1310,16.741254806518555
1713405638.0868568,1320,16.891855239868164
1713405693.4848175,1370,17.838560104370117
1713405704.7115033,1380,16.82194709777832
1713405783.9037979,1450,18.637603759765625
1713405806.4150288,1470,16.039596557617188
1713405817.6954503,1480,15.961307525634766
1713405851.817692,1510,17.42824363708496
1713405929.4128125,1580,16.77123260498047
1713405962.9758954,1610,16.72245216369629
1713405985.732769,1630,14.821451187133789
1713406008.2150686,1650,17.559673309326172
1713406076.402206,1710,17.079500198364258
1713406087.5320263,1720,16.174062728881836
1713406098.43347,1730,18.338335037231445
1713406131.3463328,1760,17.00518798828125
1713406154.5555968,1780,17.32767677307129
1713406199.635277,1820,14.762051582336426
1713406232.9525344,1850,18.399658203125
1713406244.0903697,1860,16.679393768310547
1713406255.76608,1870,17.172401428222656
1713406300.6069188,1910,16.207441329956055
1713406312.3947616,1920,17.242107391357422
1713406323.8065133,1930,17.20501136779785
1713406401.9270806,2000,17.455564498901367
1713406436.0352027,2030,17.346731185913086
1713406447.3304095,2040,16.496414184570312
1713406458.5975416,2050,17.521940231323242
1713406470.365333,2060,15.847190856933594
1713406492.622593,2080,17.506179809570312
1713406536.7845335,2120,15.793025970458984
1713406558.741369,2140,16.633920669555664
1713406580.8123784,2160,15.014452934265137
1713406625.2641227,2200,16.6622371673584
1713406636.3771389,2210,17.485227584838867
1713406647.4932716,2220,16.959856033325195
1713406681.3534193,2250,16.027589797973633
1713406737.89752,2300,16.472736358642578
1713406849.7922354,2400,15.769011497497559
1713406872.0178223,2420,16.791080474853516
1713406905.4268677,2450,15.673903465270996
1713406916.6422973,2460,17.521833419799805
1713406927.769056,2470,17.333559036254883
1713407017.6896105,2550,16.675270080566406
1713407061.7503405,2590,16.994474411010742
1713407072.6179883,2600,17.153396606445312
1713407084.1690593,2610,17.810998916625977
1713407105.9994836,2630,17.572772979736328
1713407195.1279242,2710,16.439111709594727
1713407206.3502843,2720,17.165096282958984
1713407240.1698678,2750,16.371013641357422
1713407262.2286222,2770,15.809930801391602
1713407284.9286067,2790,16.817514419555664
1713407307.8606305,2810,16.22135353088379
1713407329.9597673,2830,16.617504119873047
1713407341.0009406,2840,16.926647186279297
1713407363.679813,2860,16.76034164428711
1713407385.8514292,2880,15.462675094604492
1713407396.901593,2890,15.367659568786621
1713407419.1232693,2910,17.024587631225586
1713407475.9750488,2960,16.987504959106445
1713407487.2712977,2970,16.795534133911133
1713407498.5316064,2980,16.718603134155273
1713407510.029387,2990,17.33982276916504
1713407599.2109337,3070,15.250005722045898
1713407621.3381896,3090,18.89015007019043
1713407665.142441,3130,17.696989059448242
1713407709.6250553,3170,15.67390251159668
1713407732.108389,3190,17.006166458129883
1713407743.5492756,3200,16.18231201171875
1713407776.9384413,3230,16.118314743041992
1713407854.9901764,3300,16.83456039428711
