Wall time,Step,Value
1713370153.9841568,40,16.296701431274414
1713370165.0676253,50,16.981101989746094
1713370236.114282,110,15.74154281616211
1713370281.091198,150,17.96224594116211
1713370292.6032593,160,17.053913116455078
1713370326.2116508,190,17.348947525024414
1713370337.4158745,200,15.76823902130127
1713370348.774948,210,16.77605628967285
1713370371.684306,230,16.909366607666016
1713370382.6128013,240,15.83423900604248
1713370416.0910974,270,16.647045135498047
1713370427.4001012,280,17.191160202026367
1713370550.4168034,390,16.86259651184082
1713370572.7501237,410,16.208887100219727
1713370651.9915965,480,17.08951187133789
1713370663.311524,490,15.924948692321777
1713370674.4732273,500,17.200950622558594
1713370696.9831932,520,17.24679183959961
1713370730.6203268,550,16.067792892456055
1713370764.505174,580,17.450408935546875
1713370797.9397202,610,18.058931350708008
1713370809.1605384,620,16.484203338623047
1713370820.3446784,630,16.990741729736328
1713370831.2980824,640,17.477529525756836
1713370853.730453,660,15.942026138305664
1713370865.0965295,670,18.70346450805664
1713370875.9889388,680,15.916647911071777
1713370887.316068,690,15.559968948364258
1713370909.8842406,710,17.339250564575195
1713370920.9529476,720,16.527494430541992
1713370988.5736866,780,16.97848129272461
1713371011.4630637,800,16.68135643005371
1713371022.7864978,810,15.879514694213867
1713371045.3546011,830,16.320255279541016
1713371079.239005,860,16.417146682739258
1713371124.410993,900,17.238319396972656
1713371235.99204,1000,16.407337188720703
1713371247.2101753,1010,17.22019386291504
1713371280.7506483,1040,16.650171279907227
1713371314.3514965,1070,17.237632751464844
1713371325.4124584,1080,15.38001537322998
1713371347.49858,1100,17.366952896118164
1713371425.7573853,1170,16.45869255065918
1713371481.704455,1220,17.450515747070312
1713371527.368342,1260,16.134109497070312
1713371538.6988869,1270,18.03166961669922
1713371561.0475948,1290,17.183629989624023
1713371583.6304355,1310,16.913307189941406
1713371595.1023085,1320,17.34691619873047
1713371651.0620432,1370,17.062726974487305
1713371662.8426607,1380,16.121883392333984
1713371741.9113917,1450,15.993058204650879
1713371764.2512681,1470,15.751382827758789
1713371775.45297,1480,17.099262237548828
1713371808.95986,1510,16.29430389404297
1713371887.2549486,1580,16.257986068725586
1713371920.9790783,1610,18.011795043945312
1713371942.757067,1630,16.068466186523438
1713371965.1508765,1650,18.17569351196289
1713372031.1024106,1710,16.30886459350586
1713372042.1692698,1720,17.771188735961914
