# {"t_start": 1713710400.3236017, "env_id": "PctDiscrete-v0"} 
r,l,t
190.206866,31,8.126797
212.467869,27,14.23813
174.338523,26,19.684813
237.143965,33,27.185875
238.31337,35,35.196634
214.016364,31,42.817674
225.946848,32,50.329649
210.294773,31,57.753907
208.227346,31,64.954025
197.857441,28,86.591344
188.81057,30,128.017828
72.202345,11,130.795949
220.884043,34,138.879174
195.098417,28,145.9185
156.571682,23,151.130949
197.600372,30,158.179073
223.957608,31,201.723414
215.797834,32,287.54717
257.867143,41,297.121114
231.765856,36,305.679584
253.85196,35,313.91513
280.214369,40,323.52013
233.6188,33,331.158344
220.019314,32,338.496359
195.62611,30,345.778391
244.629927,35,353.762573
249.32528,36,362.071844
253.878944,34,369.962917
242.71814,35,379.015824
196.9008,30,386.329686
212.906991,32,394.058241
231.644821,33,402.536059
274.367808,37,411.888027
269.644867,41,422.650699
278.485732,42,433.446053
221.227914,35,442.035359
220.391952,33,450.26083
266.203624,38,469.359187
217.511945,30,502.396085
209.923019,29,631.720953
200.414973,32,639.888964
230.145636,33,648.348056
218.308942,32,656.28952
237.538584,36,665.658466
179.779968,25,671.608138
223.981944,35,682.078811
237.830143,36,723.184054
202.902363,28,940.837232
234.356025,31,948.035019
197.007428,29,955.544347
254.13371,35,964.628358
215.293423,32,972.809806
101.180106,16,977.173413
231.320557,31,985.186007
219.148185,36,994.593053
184.423066,27,1001.111421
199.541233,29,1008.528985
214.110847,37,1017.835693
214.695444,33,1026.230132
242.05653,36,1035.987287
270.442217,36,1066.031231
127.320279,19,1088.464967
265.867516,37,1207.934788
254.728221,36,1216.466653
174.177,26,1222.676521
201.431761,28,1229.300162
233.894741,32,1236.983489
266.978157,36,1245.700302
238.924567,34,1254.478601
273.635217,36,1263.235922
178.54167,25,1269.520955
190.926877,28,1275.767443
212.377656,30,1282.994872
219.084994,33,1291.114214
202.967162,29,1297.763547
288.72632,38,1306.703389
196.824037,28,1312.999137
217.369266,32,1320.487779
202.814677,28,1327.187674
278.55293,40,1336.244394
191.510611,27,1342.223909
258.095842,36,1350.735629
226.459203,34,1358.722973
220.217056,34,1366.688027
231.75477,29,1373.190426
210.255946,30,1379.971092
153.203655,23,1385.074528
292.343352,41,1394.418636
227.12722,36,1402.5517
198.650042,31,1409.642403
223.7409,33,1417.306054
181.15202,26,1423.362322
198.298033,32,1430.340863
248.961685,36,1438.371061
282.357489,36,1446.934238
219.435824,30,1453.77824
172.567145,24,1459.248856
231.703746,33,1466.707833
174.260898,25,1472.598897
223.038031,32,1479.630213
213.929564,30,1486.594126
174.370662,25,1492.449115
239.66329,32,1499.472561
267.22171,38,1508.037224
210.960932,33,1515.759363
236.693541,35,1523.840936
202.505423,34,1531.631846
237.200916,36,1539.331615
235.528023,33,1546.653024
198.951901,29,1553.306871
202.699464,31,1560.623519
218.476964,29,1567.069678
217.882125,32,1574.441888
238.13742,35,1582.41221
267.633877,39,1591.693656
187.095568,27,1598.076608
240.968745,34,1606.138314
160.1934,23,1611.388582
254.90129,35,1619.409689
223.648693,28,1625.862166
185.252145,25,1631.950693
238.455492,35,1640.108288
232.803333,31,1647.925253
248.12226,38,1656.583755
188.829663,29,1663.380557
215.358622,32,1670.883393
180.804433,27,1677.241837
209.436106,31,1684.240146
205.383025,31,1691.266596
215.848348,31,1698.478617
262.461852,37,1707.350605
251.251947,38,1716.017947
261.277391,37,1724.42151
195.285576,28,1730.85852
204.164923,28,1737.301908
238.003583,35,1745.444958
176.458949,25,1751.466211
180.985425,28,1758.144086
223.096928,36,1766.676909
189.945037,27,1772.590406
176.472896,27,1778.806883
227.774473,29,1786.006429
215.070574,29,1793.18031
240.203012,33,1800.934523
212.9828,31,1807.654347
255.910346,34,1815.572475
200.652435,31,1822.575621
231.353721,35,1830.292176
227.887202,31,1837.531352
246.673821,36,1845.939343
158.517742,23,1851.288059
199.955813,28,1857.650301
192.773028,28,1864.201919
248.207162,33,1871.725466
241.819971,30,1878.677328
96.321332,15,1882.178941
184.47888,27,1888.737647
208.684814,29,1895.39559
296.978422,41,1905.100502
244.686132,34,1913.03808
275.558872,39,1922.218422
195.893832,30,1929.165323
141.857462,22,1934.225046
225.199496,34,1942.153386
201.820509,28,1948.610907
229.185688,32,1955.963149
310.931107,41,1965.584387
248.19421,33,1973.314306
245.391378,36,1981.497622
199.270584,28,1988.105719
219.697729,32,1995.659308
218.497474,35,2003.492978
192.225256,28,2010.339716
191.483961,30,2017.321091
243.357654,33,2025.238565
250.221311,34,2032.943145
225.587838,34,2040.828222
204.670574,31,2048.23018
215.720904,32,2055.908449
195.17821,30,2062.694452
224.330547,30,2069.660161
259.597665,33,2077.466125
242.321295,35,2085.663976
229.332764,35,2093.835657
208.001862,32,2100.98558
265.691731,36,2109.18867
191.872071,29,2116.01833
247.473734,35,2124.150179
198.866967,29,2130.956172
224.710158,30,2138.120485
217.336856,32,2145.406821
266.131262,36,2154.013871
215.681621,29,2160.759756
213.896904,28,2167.331367
268.981058,37,2175.8318
238.634179,36,2184.447247
95.272735,13,2187.430058
252.77778,37,2196.135977
240.345725,37,2204.765621
201.146532,27,2211.254905
190.121794,30,2217.960606
251.659032,36,2226.222985
177.961623,23,2231.548441
256.37605,34,2239.368846
210.032614,28,2245.904864
250.204598,34,2253.859369
211.54034,29,2260.539124
262.315128,36,2268.507113
215.372762,31,2275.75649
245.15083,36,2284.309234
241.007664,37,2292.828003
251.051919,35,2300.901698
229.006809,31,2308.067391
278.313063,39,2317.158704
204.755963,29,2323.914842
229.435998,31,2331.109217
164.71012,25,2337.005682
235.860848,35,2345.036816
206.494703,27,2351.327359
214.903408,28,2357.990027
231.107421,34,2365.583673
225.335459,33,2373.303405
275.419517,39,2382.300228
248.744518,34,2390.310042
249.18787,40,2399.491094
236.440553,32,2407.143179
189.372282,30,2414.152523
208.742104,33,2421.77078
241.144137,35,2430.047824
181.583617,26,2436.096423
247.972708,36,2444.474376
210.951353,33,2452.172421
271.330685,39,2461.392599
227.481519,31,2468.630235
237.557109,33,2476.226152
192.743136,30,2483.298893
191.266333,30,2490.322864
262.095624,37,2498.911457
264.74663,38,2507.507823
196.252843,32,2515.339288
188.073706,24,2520.632497
306.3698,42,2530.371734
183.869579,26,2536.281158
238.370754,31,2543.449468
236.928788,37,2551.869731
222.830485,32,2559.267153
130.43693,18,2563.638903
186.799047,25,2569.490599
216.185247,34,2577.498413
195.963364,28,2583.92897
222.944239,32,2591.990153
270.551212,37,2600.832724
232.70819,34,2608.832715
192.048193,28,2615.156125
167.266107,25,2621.024279
306.152997,41,2630.44612
199.580058,28,2637.19486
146.644377,20,2641.521489
182.673876,27,2647.904673
212.455773,32,2655.535601
219.260241,33,2663.124984
201.829733,31,2670.569535
233.562383,34,2678.474377
245.695394,36,2686.766836
193.326232,30,2693.813863
234.315554,34,2702.009013
255.681115,36,2710.472858
285.982508,41,2719.803075
222.696251,30,2726.70443
237.854694,31,2733.465002
252.882553,38,2742.443257
177.9706,23,2748.004572
229.502599,32,2755.468921
252.618649,34,2763.615435
226.602322,35,2772.264472
224.917441,30,2779.111006
302.229645,40,2788.181046
213.105394,36,2796.453493
171.59472,25,2802.174236
190.445628,26,2808.159913
227.908817,31,2815.250578
227.972178,30,2822.060049
262.037473,38,2830.906563
203.525055,28,2837.458303
216.750144,31,2844.509003
206.956599,29,2851.33857
240.974931,39,2860.347736
169.240342,26,2866.316255
268.157883,38,2875.138133
206.740232,30,2882.171252
242.048758,35,2890.342599
232.152025,33,2897.852063
253.795365,37,2906.454624
199.046364,27,2912.612937
235.879908,35,2920.653743
214.03028,31,2927.818914
236.266331,34,2935.455088
255.023067,37,2943.974993
243.870293,38,2953.0745
172.928974,26,2959.295619
209.594552,31,2966.748411
250.14448,37,2975.231899
102.965022,14,2978.456021
253.887633,34,2986.61031
188.196384,25,2992.246701
182.640508,26,2998.077671
207.555071,32,3005.61873
201.847377,30,3012.262067
247.954761,34,3019.972766
253.19363,37,3028.370864
184.047599,26,3034.517392
193.728161,29,3041.5088
194.262904,27,3048.206679
261.574571,39,3057.213526
218.557043,31,3064.882948
238.963102,33,3072.283986
226.196251,34,3080.112697
158.86805,24,3085.511893
279.539143,43,3095.909503
242.813141,38,3104.685537
260.416534,38,3113.253025
206.916015,31,3120.544755
247.711566,36,3129.045274
220.082199,32,3136.620608
253.791339,34,3144.341588
216.108588,32,3151.649123
219.052927,31,3158.965903
222.468994,31,3166.111632
257.252061,40,3175.38896
183.297981,24,3180.811702
287.22858,39,3189.944308
258.305345,33,3197.727088
222.458076,29,3204.663325
228.153476,33,3212.39507
247.82782,36,3220.81721
223.274227,31,3228.171165
283.744242,39,3237.508728
214.525457,38,3246.366019
201.258364,30,3253.3953
243.165273,33,3261.303047
138.70963,21,3266.258288
227.986502,31,3273.30568
261.217317,38,3282.306083
262.466317,35,3290.124326
182.102787,28,3296.469579
186.567308,29,3303.149942
206.922753,28,3309.703831
244.780248,36,3318.151487
182.852432,28,3324.736687
247.694878,33,3332.360387
227.847231,33,3339.838916
213.576811,28,3346.405256
162.376052,26,3352.410703
273.646681,38,3361.190592
272.264424,37,3369.665466
235.116687,36,3378.276747
220.997558,29,3385.380629
236.306022,35,3393.712095
188.906519,29,3400.459411
181.554462,27,3406.79861
239.109726,35,3414.881666
259.082082,37,3423.419616
225.024623,30,3430.543026
225.955263,33,3438.180063
205.207631,33,3446.168693
266.931214,37,3454.805092
207.196032,28,3461.397747
210.664083,29,3468.424978
208.505555,31,3475.942607
265.159907,34,3484.0274
178.329189,25,3489.92408
192.451775,29,3496.78495
213.869104,32,3504.251729
216.66265,34,3512.076131
277.789284,39,3520.871523
258.084072,34,3529.053462
253.03349,37,3537.818975
210.877977,30,3544.895397
194.236131,29,3551.748775
229.215974,32,3559.237468
222.838871,31,3566.537932
226.177437,33,3574.312132
158.759429,20,3578.95133
233.86584,31,3586.004401
215.832301,29,3592.771236
283.29418,41,3602.366659
232.697374,31,3609.423262
264.406127,39,3618.108307
158.888823,26,3623.894386
163.363163,23,3629.133213
268.223862,34,3637.250034
244.148489,35,3645.878858
246.269972,35,3654.252698
251.92211,34,3662.120022
270.474241,39,3671.22878
281.454482,42,3681.194265
209.976965,29,3687.750977
232.700802,36,3696.162877
249.766247,37,3704.818957
220.608309,30,3711.586604
242.57462,34,3719.535209
126.930927,18,3723.921502
222.859335,33,3731.373122
258.519546,35,3739.225936
229.219368,33,3746.83231
214.351543,33,3754.308891
213.30001,30,3761.323184
132.840836,16,3765.324268
243.104369,34,3773.193115
244.681334,36,3781.487079
255.491649,36,3790.211904
268.27479,37,3798.821495
264.420436,36,3807.417036
225.409615,30,3814.486786
249.168194,35,3822.639886
208.949616,30,3829.719144
224.968442,31,3836.976717
187.946039,27,3843.633174
223.261877,29,3850.345828
228.985357,32,3857.661455
137.564686,18,3862.204279
216.225591,32,3869.909493
199.12046,29,3876.596891
180.732838,28,3882.81919
279.131431,43,3892.862588
289.916749,39,3901.989218
261.516792,38,3910.498308
233.131041,31,3917.536427
207.693744,34,3925.71618
239.171327,34,3933.646637
212.670156,29,3940.428105
234.461992,33,3948.226244
248.493497,35,3956.489403
221.246215,29,3963.221787
257.960416,37,3971.810163
192.750871,27,3978.374262
266.477174,36,3986.271724
227.505198,36,3994.733623
219.946647,29,4001.408116
151.690096,21,4006.326831
202.732642,28,4012.884787
220.580587,30,4019.942533
178.08627,26,4026.160804
207.507101,30,4033.345486
279.362294,41,4043.053329
255.494686,39,4052.16159
247.434169,37,4060.902254
204.922832,31,4068.167507
244.685326,36,4076.659194
231.681936,34,4084.679782
224.931684,33,4092.564819
186.643653,26,4099.108557
215.571699,30,4106.017701
290.687872,41,4115.620385
218.709308,33,4123.640011
208.377608,30,4130.414275
270.18602,38,4139.671777
278.296504,40,4149.007503
212.940054,33,4156.977865
224.213885,33,4164.399445
216.930317,29,4171.140946
201.061874,30,4178.164661
238.007504,33,4185.750904
253.708329,35,4193.990668
211.495048,29,4200.679189
246.491828,35,4208.891851
258.857437,36,4217.415127
229.242358,32,4224.686295
233.265216,34,4232.520059
314.507832,43,4242.926634
259.435042,36,4251.688951
211.621118,30,4258.527871
217.277697,30,4265.466772
207.452003,31,4272.857002
188.967491,29,4279.651551
199.905916,28,4286.219318
234.324148,35,4294.423156
311.309392,43,4304.522705
262.143472,36,4313.29465
291.900055,42,4323.496071
230.072577,33,4331.633338
133.876843,21,4336.670262
220.996998,33,4344.188999
181.926602,27,4350.544781
221.617928,31,4357.634694
213.219714,32,4365.217568
264.678143,39,4374.452204
265.297096,42,4384.098594
260.743001,36,4392.424296
198.987044,27,4398.823217
276.869397,37,4407.524929
243.680879,35,4415.754082
223.608539,31,4422.810635
216.520798,31,4430.209913
219.348805,30,4437.11805
244.453535,35,4445.651579
198.39941,30,4452.954138
233.431649,35,4461.100602
232.866235,33,4468.851184
191.987761,30,4475.957808
231.295152,36,4484.463588
244.481657,33,4492.241209
181.791815,29,4498.832223
203.101098,28,4505.499572
247.598967,35,4513.578069
244.071724,37,4522.42723
198.887552,28,4529.103685
223.904651,32,4537.071993
172.443582,24,4543.004067
237.368901,33,4551.130003
219.82613,30,4558.412207
252.222487,38,4567.604087
239.576922,32,4575.274488
162.198892,24,4580.777677
265.890476,36,4589.141363
208.835058,33,4597.211016
205.396188,30,4604.438911
247.313811,36,4613.104796
197.748335,31,4620.597064
217.213588,31,4628.022361
258.259931,36,4636.641185
229.809312,32,4644.025821
240.633246,32,4651.686343
244.375556,33,4659.508742
222.170181,31,4667.150125
248.079414,31,4674.32739
245.549832,35,4683.297262
238.369697,36,4692.025456
210.754162,32,4700.113262
236.102617,38,4709.110755
223.243659,30,4716.538245
254.989474,33,4724.450429
177.262053,28,4731.517566
246.998152,34,4739.582026
