# {"t_start": 1713710400.2604969, "env_id": "PctDiscrete-v0"} 
r,l,t
234.203473,33,8.600132
245.167695,34,16.234831
178.72435,25,21.913537
167.697766,25,27.252625
220.352366,32,34.540436
181.457743,25,40.662359
212.564266,30,47.765085
231.942757,34,55.967379
215.905563,32,63.438559
203.264405,30,79.220843
239.048497,35,128.071521
276.095837,35,136.624861
252.773212,34,144.932876
217.016102,30,151.937332
197.091862,33,160.878033
228.110578,33,280.931191
286.717474,39,291.245851
246.580395,33,298.941964
297.480011,39,308.362386
228.71951,32,315.754667
215.470562,30,322.800969
254.99231,38,331.748296
209.587782,34,339.363342
133.081827,19,344.269888
211.282917,32,351.648949
250.553275,36,359.946645
261.191449,36,368.222867
255.451269,38,377.756835
237.484532,32,385.619322
210.812197,32,393.333072
209.340499,30,400.921686
240.227509,40,411.124438
194.537007,28,418.728379
228.525003,33,426.888772
180.58034,25,433.556998
255.234654,33,441.51801
222.78611,34,450.0988
214.663526,32,464.743184
246.762718,32,493.966969
173.690018,22,628.424316
236.324429,34,637.575794
262.93097,39,647.23518
283.623057,40,657.390271
252.179034,32,665.698205
201.855086,26,671.865935
191.599385,32,681.11189
226.398998,38,723.268235
211.037654,29,941.13838
140.901526,21,946.109271
247.516471,34,954.557408
217.751966,32,962.985068
219.717907,31,971.056032
188.138626,28,978.040537
145.543168,22,984.127059
248.26973,35,993.027812
263.228777,34,1001.490917
235.776775,35,1010.330908
248.702034,35,1019.288115
206.993353,30,1026.793236
174.542212,27,1034.324026
231.107547,33,1054.727523
187.353241,29,1088.521702
232.446812,32,1206.827291
264.059286,38,1215.850964
268.036309,37,1224.437496
199.620587,29,1231.699391
215.223164,29,1238.505296
258.481563,34,1246.837982
192.37119,27,1253.757645
276.356761,41,1263.934357
214.941893,31,1271.509875
289.888447,39,1280.247665
206.084243,31,1288.236938
242.376452,35,1296.194654
202.136717,32,1303.665022
271.211111,40,1312.812868
224.955517,35,1321.026536
231.631997,32,1328.622289
237.867741,35,1336.382836
163.454112,22,1341.332318
136.711333,20,1345.883048
258.68378,36,1354.342366
211.049482,32,1362.007907
245.992366,37,1370.348005
168.311537,25,1376.021388
247.983749,35,1383.965596
196.187103,27,1390.12192
276.003159,42,1399.787722
221.122223,30,1406.508562
259.200721,35,1414.75212
215.328783,29,1421.401936
275.298828,39,1429.957026
220.686432,32,1437.028779
216.730824,28,1443.73074
217.328906,32,1451.156594
253.745929,39,1459.937336
261.284107,33,1467.336872
251.321819,32,1474.767569
227.62752,33,1482.128649
259.454687,40,1491.559285
227.579521,34,1499.034045
232.284499,31,1506.01
233.345095,34,1513.769613
285.51223,37,1522.498823
264.338091,36,1530.698631
213.018263,32,1537.683872
252.99087,35,1545.504567
288.53122,39,1554.371233
244.00174,31,1561.630557
140.542985,21,1566.168354
207.519799,30,1572.996192
275.126072,40,1582.196941
201.182523,29,1589.265965
230.610101,32,1596.677833
242.151639,35,1605.111689
209.350883,31,1612.209152
237.617638,31,1619.270096
212.44836,34,1627.127597
289.129722,41,1636.725512
224.369427,32,1644.69866
212.664417,30,1651.888223
211.870867,32,1659.391473
212.923988,30,1666.350868
252.197161,37,1675.032707
174.153648,25,1680.665083
179.216995,24,1686.259991
227.319438,30,1692.852749
220.460374,33,1700.69238
236.675278,36,1709.327573
217.787974,31,1716.290323
257.049094,39,1725.147007
202.407704,31,1732.176292
271.440897,38,1741.082939
197.679026,35,1749.367496
220.359906,30,1756.617132
250.364477,33,1764.354374
221.848428,32,1771.5031
259.257665,33,1779.104069
118.399609,16,1783.093559
244.859148,34,1791.695184
234.930886,35,1799.861993
83.225738,13,1802.723873
257.065139,35,1810.385688
218.495784,32,1817.672202
244.041817,35,1825.628441
221.997053,33,1833.085047
223.834411,31,1840.205627
253.290581,34,1848.228377
191.017605,28,1854.572747
247.886062,37,1863.251246
208.669177,32,1870.695284
232.248156,32,1878.041361
205.71815,30,1885.129678
184.972707,27,1891.443229
219.023301,31,1898.576917
231.023704,31,1905.998528
149.708853,20,1910.749955
294.815901,40,1920.291895
244.160553,31,1927.424511
268.13978,36,1935.78477
221.715098,35,1943.823189
213.556911,32,1951.205317
201.984004,28,1957.551837
246.405156,35,1965.874758
229.306644,31,1973.134274
202.448421,26,1979.187126
255.615117,36,1987.46814
200.30805,28,1994.160009
294.233766,37,2002.393615
240.685432,37,2011.212795
215.428621,28,2017.767622
255.441825,39,2027.093584
221.59274,31,2034.114734
291.664641,41,2043.826648
260.458861,37,2052.632554
186.065435,28,2059.400938
239.99711,33,2066.757047
242.446726,32,2074.328954
205.231,29,2081.143861
257.752753,39,2090.307506
241.569227,34,2097.846043
211.279387,27,2104.182829
249.081724,34,2111.834447
256.022673,38,2120.887711
173.93863,25,2126.381318
255.109716,38,2135.440316
210.477094,29,2142.043583
222.268221,30,2149.312975
238.224723,34,2157.436
255.32514,35,2165.514609
178.374773,27,2171.685163
266.38884,40,2181.32152
225.266383,36,2189.61267
250.764642,40,2199.31731
242.033559,37,2207.888405
246.650985,35,2215.929137
215.356093,30,2222.601379
244.581017,38,2231.408784
196.872952,28,2237.885972
225.07994,28,2244.403927
167.097211,25,2250.048739
103.227513,17,2254.196145
260.830078,36,2262.186516
214.015831,31,2269.272377
196.309015,29,2276.043252
