# {"t_start": 1713710399.4770105, "env_id": "PctDiscrete-v0"} 
r,l,t
248.331433,36,9.905958
217.212458,31,17.028816
300.020767,42,26.20769
213.860371,31,33.210346
200.708869,33,41.172633
183.994835,27,47.707728
233.141511,33,55.684016
276.523552,38,64.441745
253.728545,35,89.532547
219.911023,30,129.132527
287.35309,42,139.267356
189.936668,27,145.90809
239.721827,37,154.680237
209.526433,33,163.716066
210.499284,32,284.253311
217.635018,31,291.771299
214.888653,32,299.187884
269.3278,39,308.60313
234.271927,36,316.988814
251.195746,37,325.75832
254.363755,38,334.578207
213.726119,31,341.615037
73.768623,12,344.83181
250.005323,33,352.403184
281.574472,36,360.711689
194.554822,32,368.098387
260.748801,36,376.784989
237.838631,35,385.582248
248.195087,32,393.461445
154.733482,24,399.505661
247.544907,37,408.817228
174.29887,25,415.489648
205.135248,29,422.972805
229.428386,30,430.706308
154.388387,21,435.79708
223.274862,35,444.400968
257.8446,40,455.840412
231.891244,31,475.057137
234.951013,31,626.513268
206.480744,28,634.283195
219.908366,33,642.793071
235.861761,36,651.881957
206.997752,32,659.847903
159.822426,23,665.94848
203.503288,30,673.117207
193.641591,26,680.209487
243.528371,36,715.488599
224.784655,31,940.982915
189.700914,28,947.515498
253.50318,37,956.844525
230.839486,31,964.962651
225.319469,32,973.123376
248.811018,38,983.313504
233.675623,33,991.585395
168.596366,24,997.798831
197.076369,28,1004.721326
235.321797,31,1012.458234
234.438493,34,1021.337593
169.627152,30,1028.840392
237.56067,32,1038.946499
308.120429,41,1074.155491
233.870621,35,1205.475083
174.564613,23,1211.19694
165.943608,25,1217.068586
287.861619,39,1226.041555
180.150187,26,1232.713295
295.757581,41,1242.552053
214.774075,31,1250.147547
256.540596,35,1258.685103
217.853958,28,1265.914012
246.707633,36,1274.493892
269.922234,39,1283.577236
200.732572,28,1290.485696
197.358619,28,1296.949915
261.518604,35,1305.157735
204.430731,33,1312.740234
263.087942,38,1321.507051
242.650845,36,1330.025693
259.324147,35,1337.687902
223.810277,34,1345.454734
241.854205,34,1353.608145
260.124535,40,1362.946448
207.502867,31,1370.027942
270.63235,36,1378.089153
231.681973,32,1385.491959
259.27981,39,1394.365091
262.602479,39,1403.128444
240.738387,34,1410.871884
257.945828,36,1419.227799
212.637588,30,1425.967005
126.978687,18,1430.073394
247.803515,33,1437.389666
295.289825,41,1447.055262
236.720164,34,1454.816257
213.455968,32,1462.052416
233.739796,32,1469.230091
230.653882,32,1476.579634
244.251699,35,1484.598234
252.541387,37,1493.249874
261.764015,36,1501.245081
153.056238,25,1506.770401
296.508186,45,1517.334403
229.823465,34,1525.086873
179.940424,29,1531.682975
252.251848,36,1539.437895
242.325707,38,1547.972388
229.002482,34,1555.814213
282.120226,40,1564.983384
249.467612,34,1572.528811
204.839017,30,1579.681201
189.882322,27,1585.736029
228.587179,31,1593.191434
188.981848,28,1599.856884
221.191729,32,1607.424833
245.653952,35,1615.504308
249.5036,35,1623.485621
204.782546,30,1630.58311
219.744715,29,1637.26508
260.708026,34,1645.75084
230.064646,32,1653.311984
210.618741,31,1660.585013
232.110454,35,1668.671385
260.321912,37,1677.292086
272.429087,36,1685.552605
224.954725,29,1692.075356
158.63986,26,1698.110126
227.436155,35,1706.327342
203.008887,29,1713.075979
257.513746,37,1721.642668
240.188957,39,1730.546267
225.606862,32,1737.917221
275.130639,37,1746.521767
239.038782,34,1754.626324
207.427225,29,1761.523838
240.627233,36,1769.83887
187.795486,25,1775.302912
237.2817,36,1784.112157
252.481299,35,1792.911785
246.785616,34,1800.821894
211.865156,33,1808.062856
169.904898,23,1813.175799
240.35515,33,1820.690332
242.31337,34,1828.380965
211.259785,32,1835.711316
252.22234,36,1844.198586
228.141716,34,1852.077433
263.045741,37,1860.463631
243.638396,36,1868.892806
210.359617,35,1876.965555
211.214668,29,1883.614721
208.955171,31,1891.019843
233.458123,36,1899.320283
233.823953,33,1907.233733
300.026516,42,1917.244333
247.314291,35,1925.374343
228.012649,33,1932.970167
218.998226,32,1940.734316
279.043904,40,1949.631492
224.801116,32,1957.034639
241.89679,31,1964.346047
223.512657,31,1971.603092
202.001059,32,1979.04141
242.021359,38,1987.803834
208.752338,29,1994.66368
260.695595,37,2002.958864
217.865862,33,2010.934589
203.289327,30,2017.947748
271.721063,37,2026.653188
243.473202,37,2035.094051
180.99426,26,2041.150443
249.387794,35,2049.584639
231.760055,32,2057.193266
218.004977,32,2064.458271
157.516046,26,2070.531786
170.54688,24,2076.17813
228.472738,35,2084.396248
260.024968,35,2092.729285
227.61645,33,2099.919764
288.752373,39,2109.133099
186.101394,25,2114.824818
239.077622,33,2122.697526
184.017635,29,2129.230306
252.079559,35,2137.504575
218.555902,31,2144.560287
267.641126,40,2154.067838
281.81257,37,2162.764187
261.58388,37,2171.253859
257.766064,40,2180.94233
211.000975,29,2187.561221
239.529814,34,2195.656368
218.794703,32,2202.929852
220.264077,30,2210.136982
196.62436,28,2216.681306
242.417193,36,2224.73142
235.774895,36,2233.061349
265.320226,40,2242.308179
195.839744,29,2248.950224
263.995147,41,2258.479826
220.982096,31,2265.477803
201.117487,31,2272.481668
214.340662,33,2280.162437
230.7546,34,2288.170754
274.557931,38,2296.994147
198.156923,29,2303.881782
155.446675,25,2309.531485
223.37772,31,2316.801991
216.54814,32,2324.247761
208.262175,29,2331.015985
254.613786,35,2339.161999
263.425747,37,2347.714448
175.243886,26,2353.855541
230.761298,32,2361.344758
224.476599,31,2368.250445
207.834558,30,2375.263041
235.707441,33,2382.899928
131.094134,19,2387.343567
227.832651,34,2395.359202
220.307151,28,2401.698807
165.117575,25,2407.771528
238.869235,33,2415.502877
235.163396,36,2423.706163
264.646865,35,2432.037461
193.411435,28,2438.565771
159.089833,24,2444.134747
216.544604,33,2451.890046
226.838721,31,2459.122847
164.929692,25,2465.173106
236.451964,32,2472.522303
203.644305,32,2479.95317
193.39648,29,2486.968169
214.262539,32,2494.33536
217.394439,30,2501.026142
224.87663,31,2508.163198
217.354426,30,2515.374418
237.053087,33,2522.874526
215.246966,30,2529.607807
220.642227,34,2537.641939
236.162222,35,2545.568514
253.797615,39,2554.465153
195.351035,28,2561.087921
243.980485,33,2568.82373
248.183051,33,2576.428717
243.661013,34,2584.514946
264.418742,34,2593.019917
219.223361,32,2600.709897
210.299615,31,2608.048981
168.143488,25,2613.653967
247.036169,36,2622.09403
198.219886,29,2628.839597
273.624601,34,2636.74623
220.048992,35,2644.956928
219.249307,30,2651.971194
275.797563,40,2661.170203
183.03403,28,2667.926901
220.817244,33,2675.651005
250.499179,36,2683.850023
230.017858,37,2692.419813
229.944632,35,2700.819632
238.625136,35,2709.061872
243.182437,34,2716.899329
206.094528,33,2724.72916
290.598723,37,2732.934717
184.518483,28,2739.520911
245.427745,35,2747.693876
190.192861,27,2754.02524
235.669864,38,2762.973489
213.704208,32,2771.156421
281.097695,37,2779.484996
275.522532,37,2787.862834
209.509651,31,2795.025408
156.504924,24,2800.365003
205.336095,33,2808.085665
231.89288,35,2816.060796
223.231687,32,2823.429735
191.529261,29,2830.128571
273.136868,39,2839.203191
253.486976,34,2846.938286
226.604961,32,2854.457128
237.813799,32,2861.827151
246.590631,37,2870.495122
219.696769,33,2878.081762
278.056564,41,2887.560958
188.656863,29,2894.41461
246.544756,32,2901.563518
258.931728,35,2909.886754
198.875222,28,2916.229145
246.064256,36,2924.346962
176.96396,26,2930.288117
208.422517,31,2937.311741
214.363349,29,2944.136688
267.473515,38,2953.195936
231.034802,31,2960.596007
256.06521,36,2969.106684
192.595772,31,2976.258564
269.353831,37,2984.848656
216.825572,32,2992.30582
246.438295,34,3000.085654
249.19869,35,3008.289258
232.676782,33,3015.677835
188.50301,28,3022.016551
237.139252,33,3029.403868
154.498025,22,3034.652371
263.735767,36,3043.217654
239.268258,33,3051.328573
198.807357,28,3057.817509
243.867602,37,3066.684036
274.219293,37,3075.007319
275.364918,39,3084.227649
250.311246,36,3092.739493
147.421575,23,3098.216661
218.880027,34,3105.941658
205.624079,28,3112.230033
232.756788,33,3119.899325
280.950805,40,3129.374874
288.086317,43,3139.434738
238.784348,34,3147.007124
192.470788,29,3153.877729
251.274,33,3161.634573
195.858815,29,3168.328445
160.182753,22,3173.42966
189.217009,24,3178.926441
219.528873,33,3186.660628
208.367879,29,3193.361267
232.830891,37,3202.446948
272.731196,40,3211.630163
246.350659,33,3219.315692
242.419306,34,3227.417945
246.377989,36,3235.90008
229.898938,34,3243.903341
227.119184,33,3251.527322
260.110087,34,3259.710749
190.649593,27,3266.147222
211.663835,31,3273.308168
233.443995,31,3280.499486
266.799136,33,3288.083948
197.212837,29,3294.684744
215.933299,35,3302.601445
244.452193,32,3310.045362
181.54101,25,3316.058204
254.635869,35,3324.164629
240.91465,36,3332.449954
229.725165,33,3340.001866
263.66749,36,3348.286271
162.128723,26,3354.401805
220.602947,36,3362.639627
227.099497,32,3370.05418
209.641836,29,3377.299625
231.304982,33,3385.025769
238.181339,37,3393.842216
196.711965,26,3399.823225
297.762588,42,3409.72926
273.864613,36,3418.070447
200.465165,30,3424.894582
182.457749,29,3431.738245
231.401451,32,3439.288245
258.756213,35,3447.780854
254.94734,35,3455.90013
225.237311,32,3463.438591
247.295386,35,3471.978406
218.947183,30,3479.133024
258.271777,37,3487.833182
301.346675,39,3497.050222
235.091377,38,3505.913218
197.833381,29,3512.688761
231.644833,35,3520.712581
221.888498,32,3528.267822
217.609581,29,3535.164078
233.558375,35,3543.398018
246.844093,36,3551.845843
145.786957,23,3557.311264
204.483211,30,3564.296749
209.543585,29,3571.188118
251.386495,37,3579.754755
269.708254,37,3588.084269
270.903245,39,3597.200589
220.672186,30,3604.278006
225.636361,35,3612.197585
286.695564,38,3620.584179
273.434387,38,3629.276167
235.491011,36,3637.805582
187.2315,27,3644.482639
247.963603,34,3652.72777
240.182798,36,3661.07741
247.739659,35,3669.436206
201.782053,30,3676.377305
186.299309,29,3683.250983
198.08327,29,3689.693326
251.694396,38,3698.629628
196.533388,28,3705.199654
228.592312,32,3712.41163
217.312936,31,3719.611061
261.91409,38,3728.702486
227.485293,36,3736.871967
263.888203,38,3745.577561
259.966993,34,3753.264073
87.082827,13,3756.198713
193.779939,27,3762.35073
211.437947,27,3768.777597
285.378967,43,3778.736653
254.161671,36,3787.252756
287.59937,41,3797.105257
211.067255,32,3804.564868
235.953469,32,3812.175511
224.927164,32,3819.858309
248.847791,37,3828.551665
232.668612,32,3835.984156
219.109871,36,3844.636532
249.896426,37,3853.187235
227.167412,34,3861.174892
237.060517,31,3868.666371
230.795546,30,3875.63553
257.555293,41,3885.271276
228.807079,33,3892.63134
275.619386,41,3902.309384
228.298824,33,3909.783602
214.486694,31,3916.747431
221.667633,30,3923.888388
212.973445,30,3930.972788
224.40464,34,3938.81934
223.807654,32,3946.599599
257.465593,36,3955.00776
224.539967,33,3962.71645
253.652266,36,3971.108726
224.57486,33,3978.891418
245.569259,36,3986.93531
228.688651,31,3994.145591
216.300991,29,4000.728783
252.075397,36,4009.154578
245.978858,35,4017.500394
131.085361,20,4022.19676
235.659537,35,4030.472521
288.495064,39,4039.798656
152.670949,23,4045.353488
244.88526,35,4053.509767
266.357026,39,4062.699527
222.111065,33,4070.44087
222.604335,31,4077.685506
308.775709,44,4088.008774
187.386568,26,4094.304837
217.395155,30,4101.961388
255.258762,35,4109.944077
341.487278,44,4120.246567
242.813385,33,4128.053796
168.850354,24,4133.642221
243.634304,35,4142.145476
273.684205,36,4150.491806
203.23901,29,4157.593597
199.684345,31,4164.566509
253.613626,38,4173.288434
232.173757,35,4181.457132
165.523359,24,4186.998892
207.762531,33,4194.830162
216.402854,32,4202.16542
244.327713,38,4211.053708
247.13784,36,4219.515238
261.035348,38,4228.128681
227.082087,33,4235.768481
233.241591,33,4243.938483
185.230263,25,4250.282873
252.003584,36,4258.467765
169.053231,27,4264.740054
248.739739,34,4272.792529
224.412945,33,4280.492775
175.214945,26,4286.554312
225.512266,33,4294.333647
211.30646,31,4301.677657
226.539299,30,4309.041722
194.912576,27,4315.182176
220.491607,33,4323.368603
257.134373,38,4332.692431
240.024704,34,4340.631529
232.824151,31,4348.058133
139.21371,19,4352.262748
44.077298,7,4354.08228
230.383616,32,4361.307166
227.587081,35,4369.663559
191.627408,28,4376.147986
267.972964,36,4384.467156
212.075925,33,4392.16029
241.607798,38,4400.999794
246.521079,36,4409.616866
273.318593,41,4419.126446
233.097265,35,4427.319623
232.131865,33,4434.977936
225.369659,29,4442.170309
266.490772,37,4451.031105
259.98703,34,4458.987259
231.597011,31,4466.323513
226.842451,32,4473.97705
192.598232,28,4480.396702
219.380987,32,4488.080843
241.116459,36,4496.609756
207.793941,29,4503.134069
228.802006,33,4510.948093
165.165413,25,4516.733281
155.476716,23,4522.068569
258.362889,36,4530.6182
227.530754,33,4538.805086
242.309553,34,4547.061048
219.531559,34,4555.219631
241.822237,33,4563.458754
161.779304,24,4569.437509
226.867575,30,4576.574799
180.982818,25,4582.358721
194.853678,26,4588.271956
238.991018,35,4596.824622
263.250468,39,4606.154166
223.78809,33,4614.103865
231.033205,32,4621.888978
248.223406,37,4630.643946
251.160799,36,4639.223931
227.270424,33,4646.979533
214.138736,30,4654.2866
276.097365,39,4663.527216
239.58438,34,4671.707607
245.347403,35,4680.671062
209.399159,27,4686.971498
136.549012,20,4691.975682
