# {"t_start": 1713710400.103505, "env_id": "PctDiscrete-v0"} 
r,l,t
183.525707,27,7.308449
202.499192,30,14.192367
183.304473,28,20.134907
213.098602,32,27.364517
215.023604,32,34.680123
233.252345,33,42.813546
158.079661,20,47.470733
203.309281,32,55.247705
207.387297,31,62.548168
270.487578,37,81.453336
208.943752,33,128.222769
260.946633,34,136.563263
159.316506,25,142.636802
164.743106,26,148.762984
200.323899,32,156.325778
247.318459,35,165.965951
232.122061,34,287.11582
205.413818,30,294.175723
220.237703,30,301.258634
259.430125,37,310.066226
165.694431,25,315.87082
281.575366,38,324.999612
270.618447,36,333.295416
226.486747,31,340.27112
241.457423,33,348.311092
213.001885,34,355.952694
271.38425,35,364.079741
203.669113,31,371.459742
248.265909,37,380.951683
216.536022,32,388.688724
233.252777,36,397.753628
264.400223,38,407.250612
249.196419,35,416.635256
213.620461,33,424.780977
178.564497,25,431.27956
224.928922,33,439.32332
246.225335,34,447.846491
217.314303,32,458.677048
268.18064,38,488.43265
261.939073,40,632.638635
242.989898,38,642.422126
221.820749,33,650.749426
223.505663,32,658.759181
172.205336,24,665.246669
204.213062,32,672.77613
236.899457,34,684.195204
278.411574,39,936.475873
298.643876,44,946.226385
194.234611,27,952.979488
231.065647,31,961.100421
261.968807,38,970.967573
241.977363,33,979.19288
242.429934,34,987.937149
234.615039,34,996.908552
218.088678,31,1004.526151
216.331852,31,1012.284322
225.304818,28,1019.674891
244.592929,33,1027.886031
222.257922,33,1038.410364
237.521042,34,1066.953885
269.149445,37,1203.567876
186.022652,28,1210.554749
204.686387,27,1216.891941
224.13244,32,1224.355415
269.146892,35,1233.128861
188.854997,25,1238.940717
223.393214,32,1246.812296
163.536309,27,1253.561601
218.473807,30,1260.764496
216.720196,31,1268.786704
236.762236,34,1276.377781
265.560057,37,1285.909912
245.985935,36,1294.007585
303.029928,42,1303.794869
204.469744,28,1310.349648
223.55096,31,1317.455999
127.702757,17,1321.501621
250.439845,34,1329.411787
261.632486,34,1336.889669
165.628573,24,1342.448321
183.072026,31,1349.642398
241.66257,35,1357.991169
259.96609,38,1366.89643
249.625989,37,1375.149586
222.775483,35,1382.998293
250.384192,34,1390.687601
254.993933,36,1399.03089
272.171631,41,1408.178552
194.935529,30,1415.322429
232.315474,32,1422.718343
272.249622,38,1430.97346
253.800927,41,1440.372089
235.010641,32,1447.893814
225.540119,31,1454.874897
190.185164,26,1460.727926
240.410146,36,1468.872438
206.737293,29,1475.522917
164.239202,25,1481.139917
139.050717,20,1485.752486
194.50967,29,1492.630885
210.347238,29,1499.038958
238.459051,34,1506.62733
244.711742,38,1515.432155
275.570189,36,1523.831785
217.171625,28,1530.059279
215.6917,31,1536.929326
240.995602,32,1544.07154
242.470312,32,1551.140615
225.797681,32,1558.552021
218.178517,37,1567.031498
148.103136,20,1571.503563
237.68537,37,1580.209365
196.937047,27,1586.443171
283.245665,40,1595.926447
245.399893,36,1604.516739
222.237817,32,1611.842128
249.748639,35,1619.830277
218.65933,32,1627.288684
192.115173,28,1633.944521
196.693043,29,1640.784293
284.946466,44,1651.470968
239.794361,38,1660.428087
218.359703,31,1667.595031
226.747068,32,1675.185988
166.663343,28,1681.471971
212.243146,30,1688.392794
205.010424,28,1694.706071
209.023104,33,1702.439612
235.069925,34,1710.562636
233.213507,31,1717.515292
257.41011,38,1726.208972
274.406284,39,1735.222605
249.697109,36,1743.724291
149.868321,23,1748.994346
155.207889,28,1755.755801
178.384608,28,1762.255587
236.018849,31,1769.58661
211.050742,32,1776.64751
244.256328,35,1785.132441
229.631456,32,1793.130054
202.527674,30,1800.216432
205.527552,27,1806.040641
269.450867,41,1815.423851
255.846771,36,1823.59372
210.124558,28,1829.891222
265.728837,36,1838.028508
261.128478,36,1846.557648
226.832002,36,1854.719166
247.443316,36,1863.163197
202.216105,31,1870.338544
226.116545,32,1877.694657
195.453262,27,1884.011991
197.978344,31,1891.381606
224.936129,31,1898.490318
200.492183,30,1905.720007
221.491028,29,1912.56532
204.722763,30,1919.805983
224.566295,32,1927.076031
301.515029,43,1937.123736
268.258706,35,1945.10613
249.277132,34,1953.027268
242.519232,35,1961.187565
164.248685,25,1966.940721
206.572449,27,1973.311107
223.939144,32,1980.607022
169.757707,23,1986.066501
245.129753,34,1994.039667
216.065712,33,2001.412954
194.307116,29,2008.379726
190.324429,30,2015.390251
211.648033,30,2022.378187
200.045738,30,2029.640105
249.508544,34,2037.15872
214.176572,34,2045.295315
197.183269,30,2052.567751
170.915962,28,2059.194136
239.905791,32,2066.553184
275.220885,40,2075.744779
210.77593,31,2083.098773
229.324628,32,2090.675982
203.86701,28,2096.976035
208.938965,32,2104.286876
223.890006,32,2111.493267
112.323414,15,2115.154583
216.990193,35,2123.316103
242.459137,32,2130.704855
224.43463,35,2138.881857
257.316298,38,2147.83581
150.711124,23,2153.188762
213.103875,33,2160.933913
263.571473,35,2169.029835
245.008401,35,2177.313838
264.614916,37,2186.010402
244.479028,33,2193.910179
240.065688,35,2201.940484
217.692995,34,2210.032193
226.486217,31,2217.073009
263.650339,39,2225.990985
217.893831,31,2233.115175
222.533845,31,2240.252162
237.736116,35,2248.303721
266.578672,34,2256.346903
305.254316,42,2265.640935
256.807815,34,2273.40795
244.42121,33,2281.287824
234.919768,32,2288.681633
260.46848,36,2297.072676
192.410671,28,2303.710655
186.103302,30,2310.547227
226.252568,35,2318.65209
169.277315,27,2325.021806
219.694767,36,2333.468015
192.814771,29,2340.064099
224.425075,35,2348.196939
224.294212,31,2355.608081
219.136184,33,2363.171812
195.745341,29,2369.782719
261.643309,36,2378.001729
193.866212,31,2385.250733
179.003646,25,2391.085815
195.675899,29,2397.968673
233.853715,31,2405.352021
231.46209,33,2413.030343
232.417897,33,2420.666455
262.503223,39,2429.728962
226.245782,30,2436.695927
221.582573,30,2443.769176
201.464384,27,2450.16147
256.42712,36,2458.520171
264.105803,37,2467.17229
232.479641,34,2474.993975
265.256745,38,2484.014986
220.102695,32,2491.437727
266.928575,36,2499.715903
204.858939,31,2506.825948
247.144912,35,2515.304368
226.756699,30,2522.0311
244.386574,36,2530.320071
211.664133,31,2537.360371
288.690841,40,2546.539214
205.409487,31,2553.641311
138.448828,20,2558.412908
180.471288,25,2564.330253
267.206965,36,2572.559047
193.372493,28,2579.182515
242.287924,34,2587.362372
271.887289,40,2597.200807
179.367783,26,2603.62556
207.957816,30,2610.370203
271.05608,40,2619.542788
218.135438,31,2626.707957
293.08087,43,2636.934824
243.860145,33,2644.598388
254.158668,37,2653.395895
234.8041,33,2660.764812
230.098465,35,2669.186567
265.913523,36,2677.626206
177.988511,25,2683.217972
202.741021,30,2690.230125
222.098766,28,2696.92724
259.347692,35,2705.190017
215.68249,30,2712.141633
166.99107,26,2717.970519
210.849613,31,2725.467828
213.996642,29,2731.922037
187.973639,29,2738.6567
187.775456,27,2744.896674
235.320673,37,2753.635182
179.785285,25,2759.38594
225.699959,35,2768.053026
133.45681,22,2773.266147
213.053503,29,2779.922089
224.87611,36,2788.033071
210.113322,34,2795.989141
208.114765,32,2803.3714
252.286594,37,2811.900208
267.908505,39,2820.852968
215.418502,33,2828.368716
203.581385,29,2835.15175
164.334878,26,2841.088548
237.876005,31,2848.371576
242.577194,34,2856.126047
190.22181,26,2862.179579
198.98676,28,2868.688071
209.524263,29,2875.340631
200.727392,29,2882.156125
211.187847,31,2889.356516
212.231686,30,2896.36238
111.356595,15,2899.596304
252.540182,35,2907.805689
214.016544,31,2914.827457
213.949207,30,2921.663978
167.470219,24,2927.38861
211.737315,30,2934.199767
256.759843,36,2942.517938
193.806906,29,2949.370899
191.652599,28,2955.95782
233.169741,33,2963.806508
253.019023,37,2972.547083
210.110847,32,2979.816874
250.61922,40,2989.290688
219.480826,31,2996.275141
211.886298,36,3004.6326
244.535622,35,3012.430621
209.224581,32,3019.79373
196.848541,29,3026.304003
225.214108,31,3033.580569
206.097483,30,3040.781331
222.639777,33,3048.830503
200.560891,29,3055.734122
227.500921,30,3062.828588
217.260162,28,3069.390326
214.186114,33,3076.61901
249.58853,36,3085.12957
241.490757,34,3093.308537
298.751652,39,3102.399794
222.07372,33,3109.923504
229.136027,37,3118.325635
163.660196,26,3124.155919
295.154383,39,3133.514231
200.780141,27,3139.871491
232.526508,33,3147.39386
220.080038,32,3155.016091
245.616761,33,3162.546642
212.258082,29,3169.255075
281.079618,37,3177.830575
203.2915,29,3184.658715
279.784777,40,3193.938909
251.220853,35,3202.519443
221.534293,31,3209.613269
243.490765,35,3217.779982
218.333262,31,3225.259556
253.353636,36,3233.650798
238.155408,37,3242.338049
220.005529,32,3249.711456
226.600671,34,3257.810059
203.493308,31,3265.356646
215.188764,31,3272.572813
250.623094,32,3279.883978
244.410734,35,3287.846978
174.519846,25,3293.624095
227.653228,33,3301.103377
190.896336,26,3307.113209
255.479333,37,3315.871571
257.81691,38,3324.75749
240.070357,35,3332.807964
189.683427,26,3338.714625
192.556099,30,3345.585863
250.133487,38,3354.423544
207.041031,32,3361.807612
210.874289,28,3368.204277
227.87705,34,3376.645012
257.296428,40,3386.098939
254.859727,34,3394.153897
262.549907,38,3403.027021
210.733345,33,3410.789424
227.256263,33,3418.390715
264.429227,39,3427.406884
175.400882,24,3432.940462
224.516791,31,3440.321674
237.72466,37,3449.184159
294.606156,40,3458.435035
214.112352,32,3466.155544
232.958725,32,3473.797973
177.002157,27,3480.573354
232.421543,31,3487.757538
196.012732,28,3494.154763
238.428344,36,3502.8246
249.926352,32,3510.04733
314.408747,42,3519.746849
206.058542,31,3527.317928
257.187632,35,3535.433669
234.153682,31,3542.776939
210.92383,29,3549.683168
313.041604,44,3559.908773
260.924706,38,3568.908908
188.391546,27,3575.176387
279.331638,41,3584.738811
209.719883,33,3592.220643
195.250288,30,3599.138152
161.57773,24,3604.855371
245.38442,36,3612.809157
280.343635,39,3621.51005
177.343531,28,3628.036627
115.172368,16,3631.763764
229.956961,35,3640.194745
203.028291,28,3647.074896
206.157166,30,3654.321076
170.85875,26,3660.343988
198.728826,29,3667.107843
209.761837,33,3674.873848
228.45771,32,3682.308763
212.845936,30,3689.122604
229.905371,34,3697.013159
219.913165,33,3704.795327
222.152887,33,3712.23281
217.73773,33,3719.960341
200.755124,31,3727.401741
236.658667,33,3734.7946
201.722478,31,3741.754506
240.62357,33,3749.494911
245.787527,35,3757.529488
201.065883,27,3763.817717
261.053037,39,3772.961612
253.276826,34,3780.92864
226.184566,31,3788.057941
197.527257,28,3794.905417
207.709718,30,3801.836758
207.16769,29,3808.846511
188.861067,30,3815.844477
281.465092,41,3825.519635
222.968539,31,3832.602672
256.218362,37,3841.649109
194.058128,30,3848.592447
217.578865,32,3855.920876
250.887559,36,3864.791545
256.662168,34,3872.755999
144.954623,23,3878.141421
206.262716,35,3886.077109
194.441223,29,3892.844693
200.472937,34,3900.744018
209.705164,30,3907.537343
192.518076,29,3914.112477
167.835797,24,3919.726487
184.365803,27,3926.120538
189.949508,27,3932.455926
207.999938,34,3940.405399
220.270644,32,3948.012075
