# {"t_start": 1713710399.634345, "env_id": "PctDiscrete-v0"} 
r,l,t
216.473956,33,9.204491
226.461629,36,17.147825
223.017661,33,24.750452
265.379535,39,33.341726
199.2383,30,40.566599
257.366131,39,49.787207
250.279299,38,58.89452
202.256903,30,65.855753
207.878658,32,99.545886
189.301589,27,129.189723
219.362151,30,136.582377
213.123641,33,144.550064
265.822151,40,154.011654
249.139182,36,163.75541
220.872869,31,284.056818
250.72017,36,292.808289
215.082129,31,299.969344
243.069009,38,309.160867
231.102652,37,317.740335
228.424716,32,325.382839
255.434823,37,334.0349
211.077026,30,340.720587
134.274825,19,345.568951
178.592378,25,351.39444
259.853797,37,359.81443
220.239256,31,367.100044
277.446134,40,376.622216
280.414329,37,385.972383
202.524176,32,393.71636
223.245276,35,402.539138
173.003923,26,409.138875
294.872239,42,420.320369
245.845001,36,429.44637
284.071893,43,440.131229
215.41585,31,447.812552
216.711986,32,458.418207
252.502687,37,486.748034
110.706136,17,551.002645
244.666129,37,635.944648
204.978883,29,643.340654
253.532407,37,652.691868
230.545283,33,660.958811
244.561932,34,669.643354
184.251257,26,676.310622
214.586224,31,689.449365
187.995676,28,930.289229
186.887119,28,942.177606
228.334526,34,950.111692
222.403722,31,958.361969
235.595036,36,967.740892
217.479887,32,975.986989
274.891028,38,985.847543
256.565858,35,995.014498
247.851691,35,1003.558892
189.053173,26,1010.134367
238.550669,36,1019.181577
235.187533,37,1028.695567
277.740851,37,1042.064867
211.717019,33,1071.468726
236.50563,35,1204.599727
266.850262,40,1214.240779
179.77858,26,1220.468054
182.46227,26,1226.297402
280.157761,43,1236.920644
227.651358,36,1245.625422
172.459487,26,1252.256284
253.740649,39,1261.725233
256.469138,36,1270.938697
217.713708,31,1277.725967
279.434918,37,1287.413998
150.037922,24,1292.650218
258.158464,35,1300.705091
122.037981,17,1304.789825
204.617327,32,1312.107355
257.839012,35,1320.13108
227.067858,33,1328.107281
252.194776,37,1336.321162
235.854599,32,1343.536874
271.587444,33,1351.400545
277.213791,39,1360.486066
260.451002,36,1368.84473
263.183743,35,1376.617637
258.835659,34,1384.386951
258.283611,36,1392.548492
255.874646,35,1400.61579
208.305585,29,1407.135326
228.271591,34,1415.134861
221.659604,31,1422.226146
215.724461,33,1429.473391
210.88834,33,1436.751489
200.241869,30,1443.808319
247.858725,34,1451.754248
219.786119,30,1458.652024
241.506085,34,1466.388822
268.360717,38,1474.874709
195.634192,29,1481.409065
260.682674,37,1490.164954
197.177128,31,1497.077572
249.321193,36,1505.279608
229.197998,32,1512.388674
203.174833,28,1519.033477
227.032076,37,1527.273203
200.521598,29,1533.922259
186.559083,26,1539.502485
211.268757,32,1546.769161
230.639294,32,1553.973775
266.516373,39,1563.13762
199.131435,31,1569.842531
175.124119,27,1576.292996
227.909661,34,1583.914952
243.465711,35,1592.347304
234.350946,36,1600.958466
244.043162,37,1609.543974
183.592427,27,1615.796447
241.617538,33,1623.320422
154.370599,23,1628.783419
279.166114,40,1638.132721
257.668211,37,1647.30321
260.917849,34,1655.232156
209.20613,27,1661.539297
246.8965,32,1669.034861
235.570214,31,1676.347981
182.768279,27,1682.367345
183.001047,30,1689.246723
179.400808,25,1694.945758
274.101131,38,1703.801085
182.989279,26,1710.148606
219.283526,31,1717.092114
238.968904,37,1725.540474
190.094896,26,1731.503024
207.730496,31,1738.603974
230.192152,34,1746.595252
203.58484,31,1753.996396
221.726997,35,1762.266912
251.859467,35,1770.335065
199.322477,30,1777.109394
210.023962,31,1784.641642
292.509688,39,1794.261121
237.536851,35,1802.46192
293.434242,39,1810.991296
196.605855,33,1818.467777
151.844097,22,1823.813945
208.901177,29,1830.088756
225.0378,31,1837.278463
237.325524,36,1845.732684
243.686873,37,1854.086346
203.355315,29,1860.731711
201.207986,29,1867.614969
244.038459,37,1876.036786
250.997277,35,1884.182049
195.097359,29,1891.077246
236.08513,35,1899.174509
192.04867,26,1905.539652
200.233011,29,1912.328868
318.290918,44,1922.652816
200.178792,29,1929.383998
223.013715,32,1936.819215
251.405134,34,1944.619953
233.494453,34,1952.53814
179.656297,27,1958.598666
208.737183,27,1965.099945
226.803914,31,1972.387463
224.996521,32,1979.794954
210.929564,28,1986.315055
96.524319,13,1989.277776
237.409247,32,1996.808072
191.799207,28,2003.00277
212.387375,31,2010.582697
248.326143,35,2018.629453
276.590559,43,2028.862103
218.046029,34,2036.483371
231.617147,31,2043.919803
253.683274,34,2052.11677
254.271354,37,2060.67135
246.781186,37,2069.134515
197.71551,30,2076.203071
251.309728,32,2083.768709
307.530867,44,2094.091311
278.414708,39,2102.825228
260.500084,41,2112.180386
245.678752,37,2120.932008
253.806689,35,2129.059735
192.937935,31,2136.366141
244.139232,36,2144.627021
216.128016,30,2151.678385
280.913501,38,2160.681348
281.141703,38,2169.50707
301.870099,40,2179.016306
188.698115,25,2184.945462
242.92954,36,2193.364432
238.761996,35,2201.504281
208.30755,29,2208.492685
255.32636,38,2217.138552
263.017258,35,2225.052852
195.779281,29,2231.725011
219.735699,30,2238.695895
218.881596,30,2245.632986
188.159423,29,2252.477189
194.106142,28,2258.851204
204.307907,28,2264.985084
252.756369,39,2273.874817
269.595308,36,2282.491704
238.193807,36,2290.844867
200.806357,31,2298.12685
240.44062,34,2306.07861
229.027384,35,2313.977691
237.38792,37,2322.731517
287.134822,37,2331.305867
184.743533,27,2337.642202
231.442292,31,2344.623884
285.454445,40,2354.112312
218.814473,33,2361.945864
244.568559,37,2370.222579
284.309903,40,2379.426085
221.551537,31,2386.676058
240.797618,36,2395.188298
211.434189,30,2402.037953
191.608514,24,2407.826553
194.114212,26,2413.918155
222.440104,30,2420.876382
204.873342,31,2428.140124
252.906455,36,2436.455444
209.402439,32,2443.97828
259.054051,33,2451.722142
242.881685,36,2460.097521
226.971449,32,2467.634627
243.266476,35,2475.668685
270.731115,38,2484.691773
218.525807,32,2492.127686
219.254561,30,2499.045319
248.622315,34,2506.785137
176.777756,28,2513.489701
231.361901,37,2522.003701
237.409865,33,2529.446546
233.978429,32,2536.921932
186.460956,29,2543.667762
221.120571,31,2550.639359
150.6831,22,2555.865348
269.625515,38,2564.693483
288.073922,43,2574.631509
172.046822,23,2580.100699
228.617067,35,2588.503387
184.04497,24,2594.580867
247.27376,37,2603.543434
252.307509,33,2611.027873
284.70149,42,2620.746593
201.948674,32,2628.142831
293.367311,43,2638.278858
244.89277,34,2646.135683
205.583313,27,2652.600814
255.725894,34,2660.418409
252.273735,36,2669.017936
202.47927,32,2676.398315
197.645573,27,2682.591329
256.186962,36,2690.867589
206.616101,28,2697.573781
257.2562,38,2706.564187
307.288354,45,2716.955504
225.539464,29,2723.872274
254.696367,37,2732.19816
247.84159,36,2740.405061
288.215235,40,2749.763477
260.351956,35,2757.907104
247.113443,38,2767.186966
197.983572,29,2774.168939
273.177539,41,2783.660269
209.836484,32,2790.913476
258.343747,38,2799.473832
238.769943,32,2807.074916
189.241945,29,2813.799694
237.509759,35,2821.678628
226.574681,32,2829.111209
228.238911,31,2836.292243
296.995202,39,2845.19188
248.63227,37,2853.830173
304.402133,41,2863.266106
187.823031,28,2869.92755
250.529296,36,2878.13556
186.478933,30,2885.131082
170.775783,26,2891.200189
225.319484,30,2898.088276
166.720211,26,2903.924766
216.214177,34,2912.023064
208.536683,28,2918.540305
113.666144,15,2921.779993
234.123565,35,2929.733261
187.225729,25,2935.536816
202.369751,30,2942.562319
225.979467,33,2950.316039
209.311953,28,2956.95711
205.629507,31,2964.271812
238.18198,37,2973.005735
194.377673,27,2979.044575
262.839543,37,2987.940592
308.21108,41,2997.322217
230.193042,32,3004.802229
230.595231,32,3011.815714
233.003504,31,3018.903589
201.39514,28,3025.212357
206.100246,30,3032.222203
272.06541,38,3041.210805
247.467835,35,3049.784142
189.654346,28,3056.294885
133.678215,23,3061.803212
219.565347,33,3069.540077
215.974307,29,3076.0178
233.808519,31,3083.464935
319.71439,48,3094.677041
304.90019,46,3105.328125
175.77684,24,3110.82587
240.861649,33,3118.336635
208.86851,29,3124.972943
281.823249,36,3133.526906
195.509195,28,3140.102221
262.714061,36,3148.376895
260.987965,40,3157.805226
224.163778,35,3165.871964
242.410275,33,3173.490904
181.529175,27,3179.699468
247.449203,31,3187.028954
236.3515,35,3195.218151
228.501083,31,3202.740986
257.39973,37,3211.231706
250.251039,36,3219.620701
189.466178,30,3226.830212
220.650087,35,3235.033161
181.06759,27,3241.390864
214.334741,29,3248.105357
131.99613,19,3252.538918
269.426986,37,3261.465708
265.544429,39,3270.561867
267.857584,35,3278.644424
250.736747,34,3286.629888
207.841402,32,3293.83271
208.327123,30,3300.623456
277.581771,38,3309.458024
249.53035,36,3317.933565
212.57864,30,3324.990372
248.142132,34,3332.776315
181.33797,25,3338.494219
169.940311,29,3345.085117
217.507377,32,3352.617394
208.144139,30,3359.483879
308.09783,46,3370.118908
208.593091,29,3377.330338
242.920603,38,3386.319565
250.778555,36,3394.868895
221.709365,30,3401.872462
239.663918,34,3409.797437
192.353733,29,3416.494542
146.328818,27,3422.761728
200.770803,28,3429.389467
214.340348,30,3436.310646
222.614546,31,3443.608831
202.170972,30,3450.793605
164.607973,24,3456.384814
262.23617,38,3465.50832
256.158172,35,3473.831225
279.96271,40,3483.543474
251.605082,36,3491.832433
194.395521,27,3498.241329
152.700842,27,3504.689003
263.813348,38,3513.411803
273.91322,41,3522.824255
218.017044,31,3530.181832
225.229196,33,3537.982548
205.434034,30,3545.037849
231.997598,31,3552.419791
215.993019,32,3559.919108
264.088074,39,3569.129818
212.141491,29,3575.953103
279.046771,43,3585.791811
239.24464,32,3593.238054
191.944886,30,3600.178412
231.000926,34,3607.892482
246.928841,37,3616.263427
197.121458,27,3622.219108
