# {"t_start": 1713710400.0094998, "env_id": "PctDiscrete-v0"} 
r,l,t
275.587451,37,9.562596
275.625787,41,18.492615
245.102723,32,25.89577
261.085046,36,34.092848
144.816504,22,39.47471
173.206229,25,45.630134
233.138634,33,53.49635
246.950872,34,61.364083
268.001884,37,77.347431
186.119674,27,125.555041
275.585359,41,135.706042
210.27475,32,143.388538
173.803945,24,149.257347
219.229413,33,156.802122
229.458928,36,166.821741
215.751144,35,288.069479
243.814923,37,296.759561
241.298029,35,304.911881
218.274004,30,312.179554
222.13294,34,320.227965
251.131505,41,329.805408
238.027132,33,337.508126
229.63096,32,345.175828
200.427148,29,351.903126
220.271173,32,359.231792
249.252253,36,367.591527
235.104176,34,375.811995
235.300863,36,384.827803
174.39305,26,391.220137
255.141023,39,400.900576
209.266286,31,408.781347
253.167095,36,418.441276
263.101432,38,427.81468
176.441127,26,434.51792
159.209126,25,440.604232
199.555101,29,447.907121
220.755194,33,459.223056
246.208342,36,487.881817
186.96419,26,628.766488
291.315817,39,639.003814
222.467709,34,647.469608
171.943757,24,653.593404
254.710129,38,663.126323
239.074751,35,671.879708
230.655854,35,682.413209
170.236689,26,710.155331
213.239981,30,939.411595
233.497941,31,946.581281
272.407193,39,956.315074
172.786839,27,963.470561
183.597764,28,970.762779
230.268943,31,978.612131
186.647198,31,986.646118
209.170571,32,995.089067
225.265051,32,1002.997583
231.191292,30,1010.578634
193.760223,32,1018.588755
243.551189,34,1027.228054
266.117315,37,1039.023829
280.956194,41,1074.796948
252.481637,33,1204.715997
217.063866,31,1212.125045
193.225861,28,1218.915169
210.891384,30,1225.733248
195.284314,29,1233.211117
257.707978,37,1241.817073
174.791948,28,1248.97246
218.561812,32,1256.936175
266.318882,37,1266.031127
273.611114,38,1274.972956
178.781755,28,1281.505221
254.609944,35,1290.229719
242.636147,38,1298.939951
280.441466,38,1307.911383
231.971365,34,1315.736202
236.371754,31,1322.869406
185.137907,29,1329.779135
186.770147,30,1336.390876
282.566215,39,1345.140235
285.607392,40,1354.587637
267.864561,42,1364.537856
209.951163,29,1371.06112
214.70475,29,1377.72114
196.227353,27,1383.832414
266.820147,40,1392.864194
179.94651,27,1399.109522
247.405752,38,1407.635228
299.363673,38,1416.545104
197.472259,28,1423.003636
242.469858,33,1430.220041
197.418849,30,1436.817491
248.874513,36,1445.313776
178.960684,27,1451.600158
234.644117,34,1459.339661
235.187519,32,1466.614314
257.144099,34,1474.306867
200.953143,28,1480.623905
224.541226,29,1487.419512
229.058448,32,1494.739263
304.729323,42,1504.272885
218.764998,32,1511.465013
235.518353,34,1519.294775
213.277922,33,1526.698724
219.939962,33,1534.135375
227.178318,33,1541.356152
234.360376,36,1549.446335
264.481771,36,1557.626019
222.977951,32,1565.095048
249.487185,35,1572.978506
185.378035,28,1579.650001
235.631686,33,1587.254272
253.643605,35,1595.529824
237.757102,35,1603.901293
257.435886,38,1612.628535
244.847567,35,1620.568184
229.768895,34,1628.626554
206.86295,29,1635.328696
178.905014,25,1641.326066
253.499899,36,1650.17507
213.661363,30,1657.108467
226.362172,34,1665.029125
191.952624,28,1671.583374
233.033192,37,1680.134626
255.63234,35,1688.25129
228.826816,34,1695.935761
215.177903,29,1702.769145
275.109241,37,1711.467775
184.706912,25,1717.205759
191.102699,29,1723.868201
253.131271,34,1731.49604
178.273452,27,1737.832615
249.774053,37,1746.421838
203.986343,28,1753.104593
222.691357,34,1761.233167
192.172387,27,1767.627416
239.317116,36,1775.506874
239.041082,33,1783.599148
240.24412,33,1791.887497
156.984746,23,1797.198695
226.126158,31,1804.140024
252.484759,36,1812.114214
231.566252,33,1819.724833
214.592625,31,1826.776306
253.089733,36,1834.925402
216.352995,31,1842.16264
254.116478,39,1851.456451
194.223895,30,1858.138265
225.613886,31,1865.365594
214.100166,32,1872.68572
255.334491,36,1881.007421
257.012144,38,1890.068887
267.447531,38,1898.824821
257.659926,36,1907.410001
204.122159,32,1915.038547
183.587933,27,1921.38084
263.109435,35,1929.420119
246.735833,38,1938.491728
214.879158,32,1945.618678
208.767307,28,1952.157152
255.908954,37,1960.746626
275.202096,37,1969.348384
266.171382,39,1978.51011
219.916501,32,1985.934716
272.310852,39,1995.106262
255.274636,32,2002.213892
232.550519,36,2010.824894
237.837668,35,2018.815445
275.130564,39,2028.264463
202.611051,30,2035.00653
213.645584,30,2042.07434
264.646358,38,2051.270651
211.987711,31,2058.625279
256.170809,36,2066.823523
218.519352,31,2074.063972
247.716829,35,2082.282899
208.55122,32,2089.856523
197.548588,28,2096.243722
239.229437,38,2104.894079
239.049944,33,2112.25018
232.297135,32,2119.815621
210.360914,32,2127.066757
189.521109,28,2133.582533
235.86093,36,2142.017241
222.784514,30,2149.278771
252.597826,35,2157.638482
239.789959,33,2165.281635
205.61246,30,2172.179474
244.779155,34,2180.417436
212.235827,31,2187.46896
176.187083,26,2193.712771
205.549392,30,2200.711226
208.552284,30,2207.919369
234.706728,36,2216.123809
260.997698,39,2224.899311
251.9542,36,2233.197507
244.526068,36,2241.568368
203.319385,29,2248.1989
198.826695,28,2254.863489
174.335006,25,2260.477659
273.642527,35,2268.286329
221.160507,32,2275.758753
239.192006,32,2283.358626
191.041882,28,2289.749474
183.780308,27,2295.941225
205.07063,30,2303.161855
199.334548,30,2309.834614
197.476237,31,2317.229814
244.531368,36,2325.619569
267.212167,37,2334.173233
163.800014,23,2339.537269
209.037177,32,2346.965394
211.233664,31,2354.216346
244.930857,38,2363.071114
227.642498,31,2370.03683
218.701034,28,2376.504114
221.123768,33,2384.117964
224.261406,31,2391.492445
175.337095,28,2398.039016
194.335012,27,2404.569356
258.103341,38,2413.307808
224.849715,34,2421.176563
219.072525,31,2428.422217
221.960419,30,2435.325107
211.571347,31,2442.702825
236.942918,33,2450.427662
237.850199,33,2458.181563
258.835801,37,2466.83029
190.117547,25,2472.687718
182.689526,27,2478.919446
254.311993,35,2487.308121
155.636758,25,2493.001387
78.908712,13,2496.059671
