# {"t_start": 1713710399.6981785, "env_id": "PctDiscrete-v0"} 
r,l,t
187.834582,29,8.198742
215.402375,32,15.661993
138.826945,22,20.060958
253.45272,36,28.239724
249.347376,33,35.855556
221.327283,31,43.421962
268.484808,36,51.950619
197.097797,30,59.082897
217.606402,34,67.078705
220.006311,30,120.661481
193.352633,33,131.364879
209.898124,36,139.939759
265.000048,35,148.461339
248.241864,37,157.114576
200.787822,28,165.240711
160.329949,27,284.672479
218.401177,32,292.316921
232.250704,33,299.910619
182.798453,25,305.712363
204.221712,31,313.092906
218.289428,33,320.991372
243.639245,33,328.735581
213.030771,31,336.110909
261.220479,37,344.801691
221.696515,36,352.908985
214.450186,32,360.489216
207.879213,30,367.479794
190.942711,28,374.036445
231.984734,34,382.667893
169.366397,27,389.402179
229.013692,32,397.276187
259.733867,38,406.972188
246.333865,40,417.554473
197.460588,30,424.983403
256.4719,34,433.591821
203.142711,29,440.705719
227.254499,33,449.08454
268.082933,37,464.734318
217.837941,28,487.508804
269.923784,36,631.485793
223.716099,30,639.32753
189.215128,23,645.058954
183.456315,30,652.623228
231.496271,31,660.43805
250.268863,38,670.012692
231.26839,33,678.711368
262.200023,36,707.588027
206.090946,30,939.572496
195.112867,29,946.195647
221.908549,33,954.412047
217.997405,30,962.290091
198.0648,31,970.509482
221.998812,28,977.463286
201.407152,27,984.648714
204.375712,30,992.192134
189.988148,28,999.273221
195.238386,28,1006.182515
225.301833,31,1013.923592
211.374933,28,1021.300011
293.741031,41,1031.928171
225.124071,31,1045.81352
206.712843,30,1073.953334
251.15952,38,1206.083231
217.076194,33,1213.847695
255.00627,38,1223.001265
245.014035,34,1231.229002
280.26083,37,1240.007473
230.304642,32,1247.985867
196.164383,25,1254.304103
243.853363,32,1261.900035
252.732412,35,1270.849829
225.631297,31,1277.644805
140.612601,19,1282.357134
192.115698,27,1289.187706
184.624171,27,1295.357619
216.906627,30,1302.302606
197.286247,27,1308.636381
198.086081,30,1315.537732
167.947959,22,1320.61233
259.692614,35,1329.00211
259.249496,38,1337.421783
210.691319,30,1344.077689
213.434929,29,1351.122981
219.703044,32,1358.63975
243.905809,32,1366.105421
247.125387,31,1373.094069
184.088881,28,1379.395928
201.476238,31,1386.358549
248.803367,33,1393.856637
207.434735,32,1401.190574
227.862762,29,1407.749763
234.045209,34,1415.714904
192.56116,28,1422.191799
219.439633,33,1429.411666
187.036788,28,1435.623053
168.380004,25,1441.443872
214.896087,28,1448.068684
201.786194,28,1454.353821
236.362698,33,1461.845316
218.951229,33,1469.273711
246.383599,35,1477.191514
228.232045,35,1485.303254
239.44823,38,1494.196716
209.342575,33,1501.535508
134.798092,19,1505.854289
221.948137,31,1512.747416
204.492579,33,1520.422298
197.216808,28,1526.824833
210.986347,29,1533.482611
194.855103,28,1539.437953
206.655534,28,1545.840966
228.870058,31,1552.748244
233.942994,35,1560.96752
245.773737,35,1568.762249
200.46682,26,1574.763714
193.796419,30,1581.715767
234.276083,32,1589.352813
170.910377,24,1594.914831
235.788701,37,1603.799574
284.785126,40,1612.936715
205.458542,29,1619.600986
234.835315,32,1626.917106
208.427607,31,1634.248435
170.534909,25,1640.213685
229.314099,32,1648.280631
266.899605,36,1656.495785
205.583422,32,1663.926593
225.609343,33,1671.680874
238.690943,38,1680.437066
241.159502,30,1687.475556
215.587921,30,1694.141284
257.60278,37,1702.828925
242.487852,33,1710.765343
224.598402,34,1718.335227
203.914037,30,1725.2233
275.250779,34,1732.939636
227.920971,31,1740.039353
216.745152,33,1747.885857
218.701702,34,1756.172603
267.60674,35,1764.372252
233.901871,34,1772.025213
