# {"t_start": 1713710399.88365, "env_id": "PctDiscrete-v0"} 
r,l,t
266.123072,36,9.480803
233.934205,32,16.764158
206.556395,30,23.720919
252.520588,35,31.451035
194.591791,27,37.716325
221.16069,35,46.18053
274.997131,39,55.458254
250.787355,38,64.232842
108.646473,15,68.831027
238.684925,36,125.415278
278.514143,38,134.86872
228.746918,31,142.272868
227.592874,32,149.904585
266.801176,34,158.105903
279.162924,37,253.030748
256.205079,34,289.101627
245.525499,37,297.859129
194.389721,30,304.838901
199.446661,29,311.813316
215.394409,32,319.4377
267.770337,36,327.882446
274.196333,38,336.734813
239.904026,37,345.481958
263.508646,36,353.61523
162.768123,28,360.299648
227.45771,33,367.881031
218.030466,28,374.640412
214.055083,30,382.300633
184.026959,27,388.92035
223.394991,33,397.111035
153.46256,22,402.53171
180.188485,27,409.47605
212.384773,33,418.253913
201.157563,31,425.96878
198.552775,28,433.196095
286.703431,44,444.006496
215.608978,31,451.924956
264.140732,39,474.024397
223.875584,32,626.036028
210.894482,31,634.773615
243.341607,35,643.616901
191.086386,28,650.752492
162.616251,25,656.911761
258.72292,34,665.785666
218.951467,29,672.713487
220.728275,31,681.93756
187.985375,26,707.469088
192.775187,25,938.478852
191.321646,30,945.06527
249.35153,34,953.455958
164.529656,25,959.942942
210.236737,28,967.247772
272.873604,35,976.349304
267.732271,38,985.96866
306.250411,42,996.918106
265.833125,40,1006.892282
223.200448,33,1015.01289
249.536698,36,1024.292688
285.632134,39,1034.835481
178.394278,25,1049.584305
292.727302,42,1116.827317
157.078152,25,1206.989526
209.591284,31,1214.244272
240.654225,38,1223.245251
230.903276,36,1232.06196
259.808987,37,1240.719962
183.500581,28,1247.781722
263.641545,35,1256.656647
169.378876,24,1262.223704
268.936723,35,1271.141959
149.793726,20,1275.561981
256.131128,35,1283.858112
253.912591,39,1293.303948
232.072003,36,1301.581317
263.817734,39,1310.730786
272.05057,40,1319.888893
243.154559,35,1328.300028
225.253232,33,1335.70084
226.28535,32,1342.849903
234.890415,32,1350.630394
308.172177,42,1360.261364
232.602681,32,1367.728086
212.63753,33,1375.119939
190.318755,28,1381.463975
211.50454,32,1388.608537
217.453884,33,1396.319972
200.992447,30,1402.97879
235.22496,34,1410.657498
183.056559,29,1417.517343
275.283556,40,1426.406134
205.276209,31,1433.421257
220.627425,32,1440.790014
262.036787,37,1449.471574
244.087389,35,1457.474891
261.741932,33,1465.095923
247.389997,35,1472.977123
215.256661,34,1480.540983
241.330787,33,1488.287714
233.863126,36,1496.38975
152.214913,23,1501.570257
278.701826,40,1510.731942
260.22565,32,1518.135015
208.509229,30,1524.919287
237.204318,36,1533.077904
261.565767,39,1541.475393
177.581523,28,1547.796907
274.524249,37,1556.293333
249.469586,35,1564.327708
220.589133,30,1570.928389
228.173003,34,1579.029571
266.982464,39,1588.14556
201.99743,29,1594.946763
212.892487,30,1602.132258
206.886529,29,1608.833657
218.027619,29,1615.536545
232.778904,31,1622.6626
224.0079,33,1630.383668
240.122746,32,1637.892207
290.213328,40,1647.87336
260.638211,38,1656.529853
185.209475,25,1662.359082
229.529733,33,1670.050782
190.744141,26,1676.384645
147.913071,20,1680.781687
270.873121,37,1689.261334
206.374501,30,1696.07316
218.879312,31,1703.33163
254.997812,36,1711.798883
168.265035,24,1717.391683
219.692239,30,1724.255177
209.555193,28,1730.592505
194.583996,24,1736.154908
218.005885,31,1743.408604
151.457392,24,1748.955601
181.025374,25,1754.987437
240.947884,34,1763.000339
222.611928,32,1770.307909
226.817313,33,1777.826051
238.488073,34,1786.094245
269.793471,39,1795.600713
201.947029,34,1803.429562
198.42627,30,1810.048023
190.847375,29,1816.731207
215.371331,32,1824.013076
160.740286,26,1829.893135
231.532576,34,1837.602821
251.37363,35,1845.922345
221.887948,32,1853.336178
277.745978,38,1861.896389
128.976495,18,1866.300787
184.890562,27,1872.360229
235.619768,31,1879.619852
211.299307,31,1886.909187
215.554831,29,1893.671354
167.498927,25,1899.421164
219.277291,27,1905.978457
213.351284,31,1913.211607
159.054249,20,1918.102469
242.782622,34,1925.801431
215.929722,29,1932.577058
230.584484,35,1941.003558
265.384934,36,1949.019419
242.813023,33,1956.624976
242.473036,36,1965.062325
243.417087,32,1972.584573
218.482889,33,1980.188885
221.008496,30,1987.198614
252.176701,36,1995.657636
187.617354,29,2002.115689
228.497365,31,2009.677731
214.952866,32,2017.02891
143.772148,23,2022.361071
219.987871,28,2029.09919
239.476174,35,2036.947026
280.402519,42,2046.884094
255.150997,37,2055.790033
241.110869,38,2064.519476
255.426326,34,2072.540157
270.03866,37,2081.250274
237.953173,33,2088.979552
221.094283,30,2095.89848
210.173943,30,2102.567949
202.003386,26,2108.610289
198.748383,29,2115.345715
223.858501,34,2123.32987
260.318731,37,2131.790915
205.499958,29,2138.720423
220.530995,32,2146.097064
182.173803,25,2151.90975
222.107317,30,2159.124771
265.191124,39,2168.125965
220.292483,32,2175.448998
251.421059,37,2184.428978
212.067706,28,2190.899893
287.719754,40,2200.344413
238.26761,36,2208.922549
243.756814,36,2217.105152
223.601451,31,2224.086128
231.149615,33,2231.752646
239.111781,32,2239.11768
176.094203,29,2245.879505
233.661589,32,2253.374482
191.432139,26,2259.220794
196.748273,28,2265.434289
238.288817,34,2273.223195
197.718609,30,2280.231618
237.816656,34,2288.229448
202.760503,30,2295.180186
234.822425,35,2303.476762
