# {"t_start": 1713710401.3392327, "env_id": "PctDiscrete-v0"} 
r,l,t
227.9737,32,7.294033
165.874956,25,13.001292
292.474239,40,22.110785
213.52148,31,28.933328
205.809812,35,37.057083
221.73218,29,44.142626
256.852262,38,53.196135
211.90541,31,60.464864
219.985821,31,72.081116
252.672017,36,125.453546
239.537726,35,134.032166
215.922909,34,142.167089
186.706991,26,148.356025
195.458414,26,154.53058
241.639141,34,163.86795
82.615018,12,251.678673
197.629809,31,287.114555
174.827219,29,293.863925
261.361464,35,302.081684
263.485008,40,311.574569
236.570287,35,319.816195
232.86478,35,328.099125
224.1379,32,335.621312
240.431564,34,343.764588
227.870412,36,351.865278
298.590334,38,360.605373
263.660357,37,369.26423
235.182682,36,378.529613
202.921737,29,385.645648
236.795562,35,394.176611
237.918524,35,403.122739
187.812095,26,409.675445
271.125277,39,419.977767
315.518751,44,431.144427
259.155931,38,440.542305
257.064579,37,449.858096
216.947232,31,465.055868
207.163552,31,494.149101
252.712385,37,631.742994
138.356058,22,637.565928
276.960852,39,647.420521
218.928034,32,655.349952
229.579816,33,663.968129
219.831237,31,671.39006
254.750624,37,684.179231
270.224283,38,935.551409
203.852685,33,942.801602
206.718598,27,949.113177
228.141214,35,958.390718
235.948176,36,967.951387
208.804223,30,975.515631
172.700077,26,982.296151
233.759521,33,990.696207
231.127996,35,999.572342
174.772295,27,1006.287882
200.967692,27,1013.01883
252.591066,34,1021.645796
217.451226,31,1029.735359
177.795935,27,1040.431134
226.372038,33,1069.844488
223.749528,31,1201.953761
246.194495,33,1210.032879
196.934932,30,1217.044817
146.205778,22,1222.357987
258.659692,36,1231.257149
204.523862,32,1238.677496
288.189687,38,1248.218335
140.95974,21,1253.469871
247.768093,33,1261.496416
185.918989,27,1268.373691
210.768661,30,1275.044581
214.222711,32,1282.814654
253.984482,34,1291.008943
319.077342,46,1301.744371
232.362639,34,1309.633861
245.010252,34,1317.412962
200.348512,29,1324.288342
225.646648,35,1332.435462
201.207754,29,1338.758465
249.256011,32,1346.033238
191.671424,30,1353.1324
222.914207,32,1360.796336
215.663686,32,1368.079618
285.502753,39,1376.840723
238.513986,31,1383.949184
246.490822,36,1392.129678
213.891633,33,1399.706659
212.371017,32,1406.834452
186.896066,27,1413.326434
210.922043,28,1419.662121
215.496059,31,1426.443171
196.377094,28,1432.799129
246.472918,33,1440.40107
230.739964,32,1447.950345
207.539416,33,1455.479152
232.857699,37,1463.97228
202.704754,32,1471.156485
252.719259,34,1478.694082
190.805763,27,1484.990402
225.131471,32,1492.466467
262.656312,37,1500.676464
273.592548,38,1509.390911
251.011617,36,1517.622424
191.518486,27,1523.850507
212.421142,32,1531.088465
226.888464,31,1537.67836
229.18769,32,1544.956894
242.028271,39,1553.792913
226.022742,32,1561.315073
181.509306,24,1566.679584
249.632819,34,1574.442585
195.228152,29,1581.049167
241.854264,33,1588.997168
231.188354,33,1596.59839
190.06212,27,1603.195723
275.484489,36,1611.437866
220.103092,31,1618.49597
190.273963,28,1624.960835
195.053465,30,1632.110976
212.739757,31,1639.383714
201.344202,27,1646.228923
285.314624,36,1654.590049
209.429099,30,1661.571088
256.036501,37,1670.16465
121.092513,19,1674.760169
232.094706,34,1682.448458
207.136717,31,1689.466391
231.451748,30,1696.375004
240.769056,32,1703.763852
230.705336,33,1711.524659
246.317258,34,1719.435088
186.467005,28,1725.71252
243.942569,33,1733.380361
258.851185,36,1741.749012
214.440705,29,1748.605309
260.03761,35,1756.992086
264.045826,40,1766.378971
237.235553,33,1773.539518
263.931551,35,1782.079289
232.181073,32,1790.179891
283.510326,42,1799.988002
248.982304,35,1807.598955
266.055321,34,1815.379892
215.607086,32,1822.68773
155.419947,21,1827.419746
183.931294,27,1833.53181
206.645347,29,1840.225062
264.374505,39,1849.536815
254.290459,36,1857.627719
