# {"t_start": 1713710400.9585757, "env_id": "PctDiscrete-v0"} 
r,l,t
228.038658,31,7.488438
237.017596,35,15.428068
219.423075,32,22.682382
232.32338,34,30.261929
182.65427,25,35.933889
230.129759,34,44.272398
248.046746,33,52.12416
233.860036,32,59.616953
214.720756,31,67.893248
248.082094,35,124.206711
251.134102,34,132.728545
221.243444,28,139.313243
178.094079,26,145.700067
239.627948,33,153.489436
194.340776,27,161.028963
209.930458,31,280.71665
195.660365,32,289.089818
262.135381,38,298.075744
200.319614,30,305.096995
173.113525,23,310.640562
195.072828,29,317.452618
280.199339,41,327.088635
217.164165,32,334.707034
207.836282,30,341.648143
203.281219,29,348.461671
269.015566,36,356.767322
175.978921,24,362.12954
226.205818,32,369.597852
216.572027,32,377.893329
184.837625,26,384.209982
252.51547,33,392.26258
230.899843,32,400.276906
231.893593,32,408.476005
88.249631,14,412.230364
224.835982,35,421.371858
207.09954,29,428.730025
170.998823,24,434.601214
245.888782,38,444.003876
242.887561,35,453.826559
274.274969,35,476.030952
254.182378,34,627.11563
289.303506,41,637.911766
249.600961,35,646.623124
203.682765,32,654.638223
129.04401,18,659.302185
160.45113,24,665.596533
245.63911,36,674.715261
226.467506,34,689.304331
233.434583,35,936.817389
244.433456,35,944.602714
228.185907,30,951.959862
203.739205,31,960.087038
215.515447,35,969.346081
224.823308,32,977.210948
214.689175,32,985.488053
257.534388,37,995.213122
257.865663,35,1003.802361
282.439824,37,1013.00262
208.139914,32,1021.295825
250.818035,36,1030.77665
240.148733,35,1047.825381
186.916409,28,1076.564489
227.126443,36,1204.838336
218.543693,30,1211.964006
231.176066,31,1219.417302
278.25575,38,1228.432149
293.766174,41,1238.381481
195.544821,30,1245.777208
262.992298,39,1255.656669
204.790059,32,1263.551598
215.006416,32,1271.291785
223.988317,31,1278.271045
252.511457,35,1287.200832
232.489001,32,1294.410664
285.071176,38,1303.325722
238.171246,35,1311.341208
289.53856,38,1320.114882
215.226424,31,1327.503447
204.84368,28,1333.865367
205.220661,28,1340.098362
163.276009,26,1345.930707
216.290399,30,1353.098228
153.958858,22,1358.350965
