# {"t_start": 1713710399.7592254, "env_id": "PctDiscrete-v0"} 
r,l,t
188.746198,27,7.651979
235.0526,34,15.582361
230.987645,37,23.832888
276.401652,38,32.167586
233.581615,31,39.480517
183.25718,27,46.127264
225.129098,32,53.733519
240.167704,36,62.177285
180.143511,28,70.787861
231.241162,32,125.302948
208.939647,28,132.233327
187.529742,28,138.98891
201.000838,29,146.120327
215.098002,32,153.665092
202.706724,27,161.206271
202.85268,26,202.299481
226.349998,34,288.58314
179.759886,26,294.71037
247.300225,36,303.10431
238.397239,36,311.908352
303.563133,38,320.650828
262.286333,36,329.093523
256.244717,39,338.172336
244.996238,35,346.529242
202.189407,31,353.544281
260.943126,38,362.469868
234.459256,33,370.004765
230.593754,34,378.705503
175.209333,24,384.669018
157.383165,23,390.23132
240.946038,34,398.707101
188.772303,29,406.129828
266.765613,38,416.208457
274.688147,39,425.761757
214.776116,30,433.560382
149.622526,20,438.442198
312.83422,44,449.43987
211.807811,30,460.620591
141.432795,23,477.227069
252.436728,36,628.773042
235.827284,33,637.576662
252.887657,35,646.185273
204.653917,28,653.247738
270.36735,36,662.286095
186.998571,28,669.523215
249.31355,35,678.64485
166.010367,26,693.148264
241.956349,35,938.556375
160.737388,24,943.79897
229.792307,36,952.440497
246.474321,34,961.426688
221.59884,34,970.496155
204.041336,32,978.343217
262.384295,38,988.010504
188.89603,29,995.856354
241.555603,38,1005.110411
203.051753,31,1012.829577
221.483379,33,1021.426213
223.730503,37,1030.876228
228.119416,32,1044.415579
219.519809,34,1077.74044
175.57115,24,1168.328471
244.363797,33,1211.096378
190.998821,27,1217.372923
252.100397,35,1225.507165
178.627351,25,1231.927661
176.744233,24,1237.518889
189.34978,28,1244.293335
232.076881,33,1252.551834
262.463977,36,1261.479561
215.232978,31,1269.365438
247.005023,34,1276.968785
259.604545,37,1286.497882
244.637378,37,1294.760121
274.888265,36,1303.280348
286.260572,37,1311.907079
202.34562,30,1318.661298
204.243543,31,1325.971906
218.034873,35,1334.098718
262.11687,37,1342.320954
167.265918,26,1348.253046
171.051834,28,1354.822207
217.976854,31,1362.273407
204.010774,30,1369.122799
208.886959,28,1375.471778
248.246953,30,1382.210443
227.944937,32,1389.477984
211.872305,30,1396.442074
165.274656,25,1402.027655
173.97974,25,1407.681865
264.250102,38,1416.594056
255.052527,36,1424.691206
238.631964,33,1431.955321
196.260623,29,1438.456199
212.741341,34,1446.557093
219.747651,30,1453.40705
286.715999,43,1463.219686
257.178454,36,1471.340977
226.629604,30,1477.949085
208.553459,28,1484.549072
263.597614,36,1492.970002
271.759464,38,1501.489054
213.107117,33,1508.81153
232.636364,35,1517.068789
230.391493,35,1525.033746
294.522617,41,1534.202464
269.76011,37,1542.264322
235.293781,34,1549.932459
289.947229,43,1559.88909
250.66991,35,1567.865389
