# {"t_start": 1713710401.3062792, "env_id": "PctDiscrete-v0"} 
r,l,t
280.021233,39,8.640967
210.064136,30,15.559296
255.660356,36,23.715155
159.02766,25,29.439898
230.40417,33,37.119908
263.85895,39,46.362105
266.884834,37,55.224195
214.856288,31,62.474436
214.956658,32,80.222412
210.752274,28,125.892659
206.943368,31,133.593755
251.677199,33,141.411195
214.244179,34,149.500474
271.665452,37,159.365217
250.417214,35,279.961772
197.465332,33,288.798888
209.279202,30,295.818723
206.943711,32,303.271012
185.99498,26,309.654475
304.214426,41,319.219069
258.790195,36,327.698895
213.839534,31,334.97754
220.767,32,342.664459
205.493404,32,350.112003
196.173931,28,356.466527
269.875476,39,365.566115
181.508255,27,371.895543
254.428427,36,380.989822
165.962279,25,387.181545
198.414304,27,393.609636
234.13962,34,402.326948
186.301546,29,409.699787
201.15494,31,417.999821
216.746787,32,425.915795
165.268902,25,432.48223
179.334634,25,438.588383
251.457801,32,446.495462
206.949138,32,457.095822
210.542052,31,479.645232
217.259717,33,627.455262
147.273714,22,633.48151
192.349068,27,640.304205
275.763786,40,650.40725
262.747505,34,658.955155
226.343678,33,667.328331
233.814417,32,675.535336
155.658952,22,684.216892
240.863532,35,933.528421
182.245752,27,940.626094
242.498179,34,948.576085
217.300321,30,956.508711
252.336229,34,965.334363
210.928946,32,973.684825
278.530527,39,983.785886
244.228181,34,992.533984
230.430988,37,1001.792925
247.763451,41,1011.959891
181.240854,25,1018.626483
300.906239,42,1029.199134
226.191398,32,1042.183964
211.880257,31,1070.579432
226.286094,33,1202.721997
214.876364,34,1210.952443
251.590813,36,1219.538001
230.779633,35,1227.826636
227.041478,32,1235.623091
195.107937,28,1242.327013
223.816775,30,1249.924916
271.552919,36,1258.745273
202.774001,30,1266.498013
264.980595,38,1275.10022
232.841537,33,1283.124842
217.855064,32,1290.772936
266.006298,39,1299.892523
272.206146,40,1309.237588
236.097649,35,1317.216338
282.892737,42,1327.188971
246.026475,35,1334.959306
187.480337,27,1341.117681
254.91089,37,1349.84601
272.032553,40,1359.14509
218.358384,30,1366.227491
250.147111,39,1374.808979
245.601518,35,1382.820194
108.901554,16,1386.405618
218.947512,32,1393.857967
206.919125,29,1400.36348
185.150853,25,1405.986254
167.411808,25,1411.752848
234.464796,34,1419.691357
246.543682,35,1427.332565
236.451884,34,1434.948967
246.842485,34,1442.959087
226.999504,33,1450.633414
232.329128,31,1457.751801
163.719419,21,1462.65144
190.142681,29,1468.932098
184.996029,26,1474.8641
233.707504,33,1482.350478
230.762975,34,1490.384847
246.329968,37,1498.582636
240.221727,35,1506.488451
279.756873,42,1516.388339
299.158618,39,1525.119448
188.299813,29,1531.757833
198.344594,29,1537.928187
140.196432,21,1542.73148
221.401686,30,1549.373132
228.193936,31,1556.417038
191.526289,30,1563.474598
255.889147,34,1571.123089
184.816442,29,1577.9224
187.457196,27,1584.041599
228.327299,32,1591.696974
262.320153,40,1601.302979
243.223098,36,1609.592721
230.200454,33,1617.170575
180.270866,24,1622.83671
207.001696,31,1630.030761
248.633887,34,1638.029169
254.409061,35,1646.790185
206.892407,31,1653.921454
195.01915,26,1660.00393
224.540415,31,1667.136577
261.502567,37,1675.784661
265.539959,40,1685.000309
213.158676,32,1692.129531
251.234297,37,1700.87017
210.787329,29,1707.848315
211.550427,30,1714.640734
224.286612,34,1722.498213
263.133007,39,1731.220992
235.339445,37,1739.852868
262.907668,38,1748.83249
253.986285,37,1757.735608
284.434309,41,1767.265099
202.408199,32,1774.354095
187.876973,25,1780.481996
270.133731,36,1789.465717
196.421213,29,1796.253963
212.150777,29,1802.731403
261.968777,36,1810.6837
272.705465,39,1819.680982
238.882767,34,1827.423622
206.127893,30,1834.308621
170.792038,23,1839.459634
184.21865,29,1846.364657
291.720572,41,1855.798331
261.096578,36,1864.196322
223.88015,33,1871.734239
256.361668,34,1879.624507
238.140231,35,1887.933654
206.387438,31,1895.203665
219.838949,31,1902.492684
203.630439,30,1909.558463
196.131242,32,1917.28555
180.301083,28,1923.630864
232.758434,32,1931.07196
269.99673,39,1940.243358
180.1186,28,1946.595225
261.221607,37,1955.04778
156.699979,23,1960.545963
221.439444,31,1967.679482
207.62397,32,1975.297669
198.074947,29,1981.85497
221.296673,33,1989.490645
198.370162,30,1996.388714
299.132266,41,2006.030355
233.052491,35,2014.275896
177.735405,26,2020.282743
257.486413,34,2028.419863
174.811061,27,2034.470914
266.064309,36,2043.061748
248.422133,37,2051.88972
166.913135,25,2057.881585
209.365572,29,2064.460262
263.408425,34,2072.436573
222.961286,29,2079.261507
248.417255,34,2087.083632
233.800918,32,2094.623954
156.30096,22,2099.358261
208.924706,31,2106.633626
257.274201,35,2114.648456
211.833055,31,2122.021349
208.350127,32,2129.438587
198.117021,31,2136.722811
172.134831,27,2142.860643
234.453982,36,2151.352978
272.408047,36,2159.856089
223.635798,31,2167.040618
281.562129,38,2175.906202
219.155625,31,2183.360428
252.693953,34,2191.344605
231.9722,34,2199.306752
270.35584,36,2207.818582
205.537215,29,2214.50099
239.236326,33,2221.980852
230.783308,33,2229.541391
226.886177,37,2237.979065
166.245645,25,2243.859913
224.177911,35,2252.061029
185.321602,29,2258.587188
265.653556,39,2267.390286
238.25824,32,2274.836549
285.621823,42,2284.735236
191.991402,29,2291.454542
228.777103,32,2298.873581
219.532661,33,2306.488078
273.415416,36,2314.862784
218.516164,32,2322.345381
255.428307,37,2330.820808
203.568304,31,2338.161187
256.383739,37,2346.676125
109.554193,19,2351.196061
279.738646,38,2360.110916
207.357102,33,2367.540276
211.845868,31,2374.603574
166.407715,24,2380.261339
172.423966,25,2386.079319
194.070049,29,2392.929953
281.19114,41,2402.619405
223.979672,33,2410.304377
237.058886,34,2418.159988
255.181684,35,2426.365131
296.899137,40,2435.611501
216.297764,30,2442.648524
224.93595,33,2450.36431
287.207358,36,2458.779255
230.804666,32,2466.381578
274.247885,40,2475.55664
268.740498,38,2484.643465
143.17718,25,2490.378962
222.8458,34,2498.234862
258.825456,32,2505.45295
303.360486,41,2515.297184
245.131954,32,2522.546603
187.83548,30,2529.52011
217.450333,30,2536.272406
234.448311,32,2543.566694
207.513858,31,2550.707534
223.7229,34,2558.62251
234.13647,30,2565.594464
208.70039,26,2571.756982
226.747377,33,2579.469234
211.850967,29,2586.50697
246.11479,34,2595.001778
260.732973,37,2603.888894
239.318664,36,2611.908246
246.540505,36,2620.34761
255.555202,37,2628.874013
199.973011,30,2636.076873
229.603396,32,2643.427639
183.684788,28,2649.947358
219.380448,32,2657.34613
234.454652,35,2665.697836
207.751162,32,2673.15686
218.362104,31,2680.239805
259.741673,37,2688.836613
204.483981,30,2695.983385
272.949866,37,2704.831679
207.182149,31,2712.025053
159.247442,22,2716.865022
202.465536,29,2723.954841
236.948688,35,2731.546682
226.694124,34,2739.442452
220.732212,30,2746.695491
212.273825,32,2754.089514
213.96666,29,2761.046604
227.274963,32,2769.220146
232.205724,32,2776.476816
244.836949,37,2784.811876
151.273521,23,2790.079261
265.990569,37,2798.315617
210.189335,29,2805.334928
194.770695,31,2812.445505
271.163033,39,2821.124372
195.167686,26,2827.276303
271.031307,37,2835.872908
197.889202,26,2841.751065
204.768043,29,2848.648965
240.444318,32,2855.92833
213.879781,31,2863.074617
288.513552,39,2872.083589
183.496043,26,2878.170159
236.777087,37,2886.788363
238.743595,33,2894.493589
228.897561,31,2901.474747
197.746803,30,2908.688819
199.354781,28,2915.015117
236.966367,33,2922.43136
190.87746,30,2929.299874
240.180193,34,2937.14341
240.752312,34,2944.981876
243.529942,36,2953.661494
230.620691,31,2961.027297
231.076889,30,2968.094207
228.365295,33,2975.648759
253.002762,35,2983.867278
203.218253,30,2990.825376
179.500836,24,2996.267382
238.443398,33,3004.059808
184.885152,25,3009.654646
232.417954,35,3017.518901
230.515997,34,3025.207886
256.702966,35,3033.338106
246.654942,33,3041.256531
313.269003,41,3051.171633
221.252635,29,3057.953966
228.889779,32,3065.75057
264.346006,34,3073.305441
280.615661,41,3082.911752
246.696195,36,3091.567008
226.901161,30,3098.480229
245.15156,35,3106.492207
235.909704,36,3114.689205
266.72901,36,3122.831749
165.048388,26,3129.269063
289.702779,44,3139.302601
267.389675,37,3147.909528
234.866765,34,3155.976893
231.708191,31,3163.145876
249.346805,37,3171.711015
228.379388,31,3178.797716
246.964749,35,3186.9409
203.639637,30,3194.037146
249.172942,35,3202.461481
251.794625,33,3210.064461
235.139772,35,3218.292775
216.075644,32,3225.883261
234.855338,34,3233.925552
283.688518,38,3242.921408
213.465758,32,3250.248303
207.255451,29,3257.312196
250.532676,31,3264.637885
277.932099,40,3273.638322
206.117783,33,3281.589229
209.447211,33,3288.958802
220.462381,32,3296.158637
231.86137,36,3304.654293
203.989993,29,3311.349566
190.647148,28,3317.857353
205.739571,29,3324.69278
227.927547,34,3332.420681
290.159247,40,3341.637615
206.677849,29,3348.468138
198.5501,29,3354.989453
214.440089,31,3362.169037
201.423133,31,3369.47161
271.390094,39,3378.801436
235.84996,35,3387.347008
184.132433,24,3393.066684
232.551019,35,3401.190349
236.043999,35,3409.351514
226.21301,32,3416.868003
212.540828,30,3423.696907
247.754362,37,3432.234664
256.885035,33,3440.237569
202.443521,28,3446.885955
201.608522,32,3454.413162
241.689128,33,3462.193005
