# {"t_start": 1713710401.1791887, "env_id": "PctDiscrete-v0"} 
r,l,t
257.734657,36,8.235565
233.016871,34,15.817276
229.758247,37,24.250036
289.354679,36,32.36476
247.346209,33,40.269923
210.241346,32,47.859928
223.3069,31,55.343708
240.483273,34,63.262617
256.757934,35,90.328116
224.900444,29,127.752202
220.685674,32,135.587097
223.762379,30,142.764333
215.626611,29,149.5985
223.81901,32,157.113896
236.273999,36,279.165712
238.912345,37,288.88745
243.432166,35,297.147468
252.764356,36,305.598803
260.635366,39,314.910549
228.069054,34,323.006948
257.384924,38,331.844845
189.362298,27,337.92093
243.769216,36,346.663764
232.180752,32,353.814792
245.848202,34,361.692115
312.811912,39,370.967354
288.626895,38,380.721167
256.861287,37,389.773201
227.223862,36,398.514196
181.27623,28,405.86722
258.33505,38,415.843496
181.435602,26,422.412048
114.785136,17,426.496131
261.220453,38,436.18338
193.715706,27,442.843701
184.555902,26,449.490217
237.710216,35,466.276857
246.432415,34,503.039571
203.267095,30,631.428261
201.438219,30,639.106126
219.979379,29,646.428072
192.290207,29,653.722143
208.970674,30,661.324198
232.040689,34,669.864671
212.987483,28,677.31946
219.865244,31,695.706182
272.232997,38,938.716918
228.985385,31,945.884684
201.446124,29,953.240703
234.122237,35,962.352295
281.116607,37,971.751042
221.12876,31,979.888735
228.790087,32,988.062151
225.693955,30,995.940432
181.894871,28,1002.786863
212.210568,27,1009.736078
189.126035,27,1016.482028
301.319844,41,1026.891864
237.21617,35,1038.526965
115.744992,18,1051.008821
211.820424,31,1086.200471
240.978127,35,1206.483085
195.668084,30,1213.614635
229.835448,33,1221.39286
218.433583,33,1229.246271
223.751571,32,1236.951556
261.888488,37,1245.965183
255.646532,36,1255.176049
243.755844,37,1264.323313
241.76725,34,1272.488942
275.933797,40,1281.640115
212.508228,33,1289.80248
186.041467,29,1296.535921
191.79539,28,1303.125423
234.270168,34,1310.856147
180.551763,27,1317.146943
286.468517,38,1326.133319
218.612853,33,1333.643203
304.0395,41,1342.690373
239.282684,34,1350.901613
176.754407,25,1356.766429
258.094525,39,1365.87497
243.069838,34,1373.523331
274.642754,41,1382.75099
136.149283,19,1387.039972
155.362288,29,1393.648273
237.857848,36,1401.778101
201.650787,29,1408.409765
223.296198,30,1415.485992
230.714473,34,1423.166472
205.057167,31,1430.010197
190.456064,27,1435.962703
209.842419,30,1443.102911
223.143475,35,1451.244718
247.91337,32,1458.437713
231.074463,31,1465.490875
204.592089,30,1472.363778
235.944875,34,1479.952566
251.787868,36,1488.468645
274.375935,36,1496.488211
242.666307,34,1504.206208
217.166918,29,1510.730027
241.400315,32,1518.243971
299.139447,42,1527.579315
207.742493,30,1534.325517
215.726546,32,1541.39797
213.787458,31,1548.361694
219.492387,34,1556.072335
233.96653,35,1564.191849
240.810399,36,1572.444693
211.739386,31,1579.714358
218.671014,31,1586.896739
282.954672,40,1596.312034
266.242606,34,1604.470681
179.207728,28,1610.840653
188.527817,31,1618.000026
197.920543,27,1624.212443
205.101163,31,1631.584855
295.315268,46,1642.584838
275.452727,40,1652.145472
240.081168,35,1660.305482
261.904254,37,1668.869892
254.727725,36,1677.235101
219.083621,32,1684.634933
285.472203,41,1694.019287
199.330135,27,1700.344067
176.716482,27,1706.798277
188.068996,32,1714.093343
205.194733,29,1720.79511
197.591185,26,1726.518215
243.878101,32,1733.980569
207.62818,32,1741.523293
254.663562,35,1749.714413
177.565464,28,1756.449489
219.092156,31,1763.716237
221.820804,31,1770.652701
215.456829,28,1777.107238
210.230952,31,1784.610859
241.604369,34,1793.00853
240.857334,35,1801.221566
232.890664,34,1808.64292
245.970341,36,1816.793894
184.43547,25,1822.626575
204.27858,32,1829.784511
155.223108,25,1835.606782
189.786226,27,1841.933298
199.47397,30,1848.936074
193.372965,27,1854.860952
239.669803,34,1862.856976
192.580637,28,1869.325861
244.676228,35,1877.456985
273.609936,36,1885.887179
195.811668,30,1892.938411
283.749181,42,1902.827174
252.016317,36,1911.35737
247.581276,39,1920.526643
197.501075,32,1927.951088
145.18645,20,1932.540846
205.824688,30,1939.782115
205.989458,27,1945.795787
268.417536,36,1954.12939
264.897313,39,1963.145086
248.886093,35,1971.385134
257.03892,34,1979.190217
228.374483,34,1987.088335
289.594588,41,1996.497457
219.305019,32,2003.880763
197.494721,32,2011.449815
238.135729,35,2019.661993
229.186532,33,2027.648634
220.331819,32,2034.831697
233.447603,33,2042.720716
266.631569,37,2051.578853
228.523565,34,2059.496246
217.203557,28,2065.926104
194.969627,28,2072.558268
243.506127,33,2080.292594
224.22537,33,2087.991904
286.091412,39,2096.829671
212.785316,34,2104.77447
212.14112,29,2111.2071
271.59698,38,2120.287942
225.098504,31,2127.384524
236.608599,31,2134.502964
199.319584,28,2140.979533
210.575286,31,2148.324836
281.40385,41,2158.132436
188.320518,27,2164.476867
151.482087,27,2170.687041
190.590954,26,2176.762615
237.530711,31,2184.14926
293.64587,43,2194.265099
191.883493,26,2200.320867
197.724046,30,2207.451751
250.096982,33,2214.995865
231.516206,34,2222.677743
202.070831,31,2229.840964
239.759899,34,2237.689752
212.874949,33,2245.314433
230.102291,36,2253.830153
239.454379,35,2261.608652
230.624639,34,2269.316727
249.52199,37,2277.935591
240.322562,32,2285.429001
283.249453,39,2294.408106
217.439554,31,2301.74002
226.131941,31,2308.755951
201.060665,29,2315.618898
232.356981,33,2323.357839
45.925304,8,2325.23452
238.529066,33,2332.87961
241.545949,37,2341.363432
196.464557,32,2348.85704
209.79337,31,2356.295383
218.981122,32,2363.437381
265.403744,41,2373.015622
218.409964,31,2380.142941
270.864213,37,2388.830806
206.246437,30,2395.878502
234.975738,33,2403.596634
235.954941,33,2411.370964
207.623223,29,2418.0877
234.145114,35,2426.144361
215.813854,33,2433.776368
239.806119,38,2442.757519
200.351542,29,2449.565817
225.697893,31,2456.835142
209.409852,29,2463.810027
258.481161,37,2472.36333
186.895681,26,2478.367377
214.07737,29,2485.307904
253.729817,38,2494.060849
209.654291,29,2500.579257
202.695428,33,2508.191185
204.755633,29,2515.159622
252.174882,39,2523.952253
210.192085,30,2530.873734
234.93828,34,2538.804131
165.147842,26,2544.654481
243.169087,35,2552.666485
165.919623,27,2559.041181
231.297527,30,2566.030938
251.588247,36,2574.418504
285.161744,40,2583.905394
173.965792,26,2590.513759
223.717321,33,2598.47539
237.481066,33,2606.256832
218.593819,32,2613.452242
238.80522,32,2620.852411
214.486932,31,2628.157711
271.789407,40,2637.369683
175.824953,27,2643.880014
205.043262,32,2651.484533
178.298194,24,2656.811766
209.493275,33,2664.518285
126.977885,17,2668.666741
258.890615,40,2677.888774
239.636634,33,2685.525766
234.679318,36,2694.094224
212.051884,33,2701.929679
262.619404,38,2710.729701
247.275551,38,2719.234816
223.104645,33,2727.007847
195.9014,28,2733.201256
234.928671,33,2740.831233
253.959505,35,2749.296813
218.864999,33,2756.994749
220.155907,34,2765.23931
240.29961,33,2773.174144
246.974819,35,2781.257437
205.016447,27,2787.368948
264.740243,36,2795.678477
233.054243,35,2803.957129
230.074761,34,2811.665081
231.167678,33,2819.257768
268.347921,40,2828.290798
203.307567,31,2835.540923
272.383438,38,2844.179503
227.262368,32,2851.627584
252.96436,34,2859.51737
219.965748,32,2867.017809
224.881352,33,2874.590016
202.116558,30,2881.570662
280.231958,36,2889.958812
179.326237,27,2896.255495
271.585464,37,2904.770146
193.820375,28,2911.222205
241.5027,36,2919.496902
212.497562,33,2927.063277
297.618675,41,2936.177851
214.427153,31,2943.374536
222.744233,34,2951.604949
274.246562,38,2960.510909
256.222419,36,2969.184776
239.123656,37,2977.581791
222.77597,33,2985.513805
234.097924,33,2993.100018
220.920586,31,3000.095274
220.989941,31,3007.432711
232.021116,32,3014.551555
197.151515,27,3020.510751
189.766359,30,3027.28671
232.151317,32,3034.983048
219.773611,33,3042.91598
206.707351,30,3050.157744
213.770898,29,3056.814844
291.739541,39,3066.40969
204.78275,29,3072.704192
224.529386,33,3080.535662
253.76761,37,3089.089424
257.944449,36,3097.723809
