# {"t_start": 1713710400.2290742, "env_id": "PctDiscrete-v0"} 
r,l,t
188.032911,28,7.480375
239.908442,32,14.836919
274.135101,40,23.782778
185.446465,26,29.488111
246.245067,36,37.830461
239.921778,33,45.836008
202.592587,28,52.477136
223.51727,36,60.941577
247.214711,34,73.711189
209.323594,32,125.534792
192.778024,30,133.007295
239.161942,33,140.941801
257.576068,37,149.791796
211.590764,33,157.560121
217.899107,30,166.236166
229.401222,32,286.746122
212.048258,28,293.449641
274.249602,37,302.010508
277.999798,41,311.753716
251.823497,37,320.402698
249.266181,36,328.911165
206.225071,28,335.581708
213.517811,30,342.565801
254.191113,37,351.250065
61.498601,9,353.101673
246.643654,31,360.339666
217.455474,30,367.356115
230.828225,35,375.818812
255.437598,36,384.888454
183.562379,28,391.746192
218.199387,30,399.177098
201.123617,29,406.743716
187.399703,24,412.908873
254.335109,37,422.503857
176.305334,26,429.144626
180.131306,28,436.069502
175.412676,24,442.159215
247.587778,35,450.897113
260.340362,36,469.389514
300.254667,43,627.445288
249.268847,37,637.407816
254.911198,36,646.194398
225.074983,39,656.131784
233.555402,35,665.242936
244.339207,34,673.706226
199.323797,26,681.132079
207.377334,31,714.104726
211.023897,30,939.851412
242.700363,33,947.444197
188.896813,24,953.548308
248.342858,36,963.005656
290.493809,37,972.432519
249.151279,36,981.978127
230.122721,38,991.69523
237.763006,32,999.777771
257.607403,36,1008.755014
178.647895,26,1015.300092
131.192124,21,1020.846072
214.552033,31,1028.60028
295.616862,42,1045.91862
216.805965,33,1078.783024
154.594035,23,1202.697964
239.88491,34,1211.060841
233.41138,32,1218.676003
221.945759,31,1225.735337
229.874694,35,1234.573751
244.82172,33,1242.522207
219.695698,29,1249.646863
233.845825,33,1257.782728
236.873009,32,1265.825361
200.740198,27,1272.449243
204.046711,29,1278.921994
231.478754,34,1287.620884
273.742033,39,1296.432248
97.271225,14,1299.696144
266.099048,43,1309.814296
248.526256,39,1318.637433
256.437866,35,1327.001283
237.714252,38,1335.552596
261.538739,38,1344.085425
281.737021,42,1353.955813
182.830306,25,1359.926785
235.526623,35,1368.060534
341.924638,47,1378.626988
211.785655,31,1385.63734
293.033513,39,1394.508347
241.51604,35,1402.396305
253.827785,34,1410.128392
241.632079,37,1418.785062
204.052783,30,1425.455433
247.01009,34,1433.106296
230.049938,33,1440.709614
223.921552,35,1448.939961
139.091207,20,1453.449878
255.173988,37,1461.795011
197.02756,31,1468.779971
225.634173,34,1476.435517
248.538001,35,1484.483849
194.971347,28,1491.190826
229.244524,30,1497.792727
166.768072,22,1502.948941
230.845661,34,1510.644443
181.768023,27,1516.933734
220.258508,32,1524.142893
262.363289,38,1532.748962
176.685456,26,1538.361665
249.773415,36,1546.364643
224.360523,32,1553.618839
196.297323,30,1560.678112
244.940594,33,1568.077254
270.007014,38,1576.903254
157.069907,24,1582.237843
254.246802,38,1591.443768
217.101718,32,1598.847001
242.246356,36,1607.390115
198.046026,29,1613.997959
196.710848,33,1621.582114
232.670673,33,1629.41946
229.217559,34,1637.257326
261.931583,37,1646.55724
184.517179,23,1651.880714
226.113791,31,1659.206673
229.744068,35,1667.270483
242.870375,38,1676.168665
243.114334,33,1683.700095
179.297132,28,1690.001774
222.326918,31,1697.126083
161.309204,24,1702.792457
192.250861,28,1709.683767
266.173682,38,1718.039543
225.961923,36,1726.28269
184.536166,26,1732.214783
266.384597,36,1740.597331
212.851917,30,1747.608615
217.871893,31,1755.141504
271.95348,37,1763.880265
251.479893,39,1772.614843
270.139968,37,1781.472191
172.553792,27,1788.035566
229.797989,35,1796.432437
205.380964,29,1803.109579
221.166916,32,1810.208675
265.15194,37,1818.605168
233.053179,32,1825.86899
190.239281,29,1832.353824
272.163191,42,1842.283228
269.644544,35,1850.556669
256.500274,36,1858.661167
208.810132,29,1865.479062
220.145647,32,1872.708179
230.817558,35,1880.814423
181.574094,28,1887.487483
216.7514,29,1894.283139
222.658463,35,1902.462699
185.950008,26,1908.550702
206.772085,30,1915.818097
279.204713,39,1924.829349
201.665546,35,1932.94487
286.379906,39,1942.058827
327.120528,42,1951.734233
252.802845,36,1960.107374
213.526118,31,1967.313479
177.494549,28,1973.9199
220.614916,32,1981.208848
245.202761,35,1989.30455
218.699958,28,1996.067706
189.404213,29,2002.438265
206.998333,32,2010.260349
196.155298,30,2017.207657
192.448717,27,2023.595692
214.406254,30,2030.493411
245.290652,36,2038.64601
217.051102,34,2046.847169
209.134994,32,2054.570184
259.447622,37,2062.981954
133.390851,18,2067.249774
224.233583,34,2075.186172
263.612784,38,2084.070209
258.570912,38,2093.088705
152.372753,24,2098.303155
163.892266,23,2103.771064
267.112589,38,2112.426084
159.823203,23,2117.672933
244.23046,35,2125.717237
209.089717,28,2132.296163
249.865144,37,2140.992038
221.232264,33,2148.815016
163.218334,26,2155.090991
193.321082,27,2161.226182
266.967204,37,2169.89451
217.337821,30,2176.983577
246.658224,34,2185.010734
225.732842,32,2192.614861
247.872064,32,2200.032545
207.339577,33,2207.925907
185.407346,30,2214.719023
150.275436,23,2219.888717
274.733003,37,2228.357541
250.31251,35,2236.559304
206.346411,29,2243.232322
210.24017,36,2251.612622
229.001998,33,2259.122032
231.332597,30,2265.782793
225.682099,32,2273.093794
246.559386,33,2280.933906
217.733453,30,2287.893952
266.745614,37,2296.51664
209.162732,30,2303.609911
223.409839,30,2310.436902
185.779295,24,2316.065659
240.30461,34,2323.986847
227.192653,33,2331.60807
243.653559,34,2339.549148
239.710262,35,2347.665147
199.213101,27,2353.991133
241.489648,39,2363.049252
243.478867,37,2371.384156
195.158597,32,2378.85797
219.319844,33,2386.612172
225.100334,33,2394.350781
176.506042,27,2400.525625
226.813396,33,2408.312161
241.019856,37,2417.083539
243.475183,31,2424.077189
212.312846,30,2431.307697
167.049964,25,2437.106645
274.833241,40,2446.462131
252.564769,38,2455.382924
229.977459,33,2463.178119
222.320078,33,2470.904107
269.525637,37,2479.47647
226.639435,33,2487.369618
207.792156,29,2494.094996
198.806404,30,2500.72862
233.506041,29,2507.406075
226.595285,32,2515.190609
226.480304,32,2522.370409
263.816918,38,2531.232001
246.295654,36,2539.465275
234.041374,34,2547.170472
268.667171,34,2555.011825
249.549169,36,2563.39731
184.435613,25,2569.318536
218.172801,32,2576.70529
213.37672,34,2584.77376
255.369808,34,2593.250533
209.50249,34,2601.348859
196.681383,29,2608.200935
202.924969,27,2614.327979
233.871666,32,2621.741683
239.01858,31,2629.049855
244.743522,37,2637.717842
276.526156,39,2646.560223
278.792625,38,2655.621174
234.787555,33,2663.200526
271.912764,41,2673.00536
309.023118,43,2682.74807
247.292604,36,2691.228205
233.766316,32,2698.930777
254.28659,37,2707.598701
235.52499,35,2715.737075
273.039448,39,2724.920789
210.770225,33,2732.196403
291.834382,44,2742.299616
256.891596,37,2751.037686
192.686537,31,2758.336509
230.181164,32,2766.088571
238.950443,37,2775.015597
204.906333,33,2782.614396
190.869559,26,2788.471619
272.431439,38,2797.149844
235.739026,35,2805.446857
254.563013,37,2813.890587
218.521876,30,2820.742484
286.772817,41,2830.077502
240.061595,31,2837.286777
153.430047,22,2842.310606
175.572245,26,2848.50813
239.849703,36,2856.684754
206.729007,30,2863.657346
232.509152,34,2871.607195
261.812504,38,2880.33473
165.367579,26,2886.415915
223.259878,33,2894.13079
252.178545,35,2902.089114
219.308207,30,2909.197031
238.272726,35,2917.276742
203.72806,30,2923.830099
258.14417,36,2932.167428
209.163592,32,2939.584875
219.584974,29,2946.258891
195.520569,27,2952.686412
131.975327,19,2957.26488
262.79427,38,2966.29731
259.940469,35,2974.499981
220.05568,34,2982.196827
133.947703,20,2987.162429
253.326479,35,2995.064775
210.018791,29,3001.760931
178.611631,29,3008.517485
224.14021,31,3015.397428
252.389375,33,3022.76335
250.686531,37,3031.404044
261.465717,36,3040.009129
251.991623,35,3048.498055
167.999386,24,3054.211094
213.031548,31,3061.495354
238.688885,33,3069.219295
230.938573,30,3075.838024
181.307122,30,3083.062326
273.12094,40,3092.530552
158.28454,23,3097.920855
194.113393,32,3105.205794
246.157659,37,3113.577478
210.715563,32,3121.094796
256.781596,37,3129.854634
242.976215,37,3138.427733
230.384034,32,3145.733571
263.398184,39,3154.905682
229.947232,33,3162.418139
154.486211,24,3168.073548
239.307446,35,3176.206875
203.584841,31,3183.343196
250.613579,34,3191.260688
235.681898,32,3198.878149
209.526713,27,3205.254277
229.96189,32,3212.735325
202.0781,27,3219.043398
230.198478,33,3226.896441
237.710779,34,3234.935725
208.365519,31,3242.226749
194.09253,24,3247.788477
252.91833,35,3255.939445
238.737618,38,3265.222014
244.724602,36,3273.407298
259.513029,38,3282.344105
255.814105,38,3290.889054
256.495075,39,3299.891302
169.706988,28,3306.275763
239.54158,35,3314.515053
254.213907,35,3322.62105
186.030756,25,3328.347547
227.515825,32,3335.61123
234.991497,34,3343.556491
191.332813,29,3350.273327
238.414869,35,3358.373319
253.809755,35,3366.374067
221.347961,28,3373.258531
247.548612,37,3381.957513
213.557345,30,3389.102383
218.620298,33,3396.95268
189.993646,26,3403.13254
151.791247,23,3408.577698
260.569783,34,3416.461677
213.093249,30,3423.314179
310.412289,42,3433.008415
245.039842,34,3441.204985
234.828035,33,3449.063229
150.296081,22,3454.22366
248.787818,36,3462.720896
150.919498,23,3468.292052
222.140025,34,3476.615123
190.87915,30,3483.660072
163.618509,25,3489.494087
189.830734,27,3495.905925
231.019443,35,3504.12986
178.046692,29,3510.705117
233.33028,33,3518.369135
222.062068,30,3525.569888
229.790675,34,3533.428317
246.840394,35,3541.721677
193.665827,27,3548.20355
195.824009,29,3555.038257
255.669641,39,3564.013032
220.491155,35,3572.29115
210.65514,29,3579.011925
176.527595,25,3584.796216
183.699829,28,3591.137958
202.75595,29,3597.842564
254.039478,34,3605.820602
199.913297,32,3612.882476
174.481969,26,3618.852979
123.195378,17,3622.605857
252.375668,34,3630.350212
226.838432,33,3638.189023
257.375371,35,3646.941143
198.450153,29,3653.872176
242.828634,35,3661.955865
286.094955,38,3670.856227
218.856998,30,3677.971411
286.515855,40,3687.135496
283.036744,38,3695.962981
236.27755,34,3704.003975
241.85939,33,3711.448432
223.901376,34,3719.381192
264.797077,37,3728.179805
231.445475,34,3735.941639
207.858518,33,3743.398062
265.482449,36,3751.792418
279.171694,37,3760.185925
222.987202,36,3768.444048
245.636005,36,3776.808335
226.690287,34,3784.753992
180.945706,26,3791.165288
193.845076,30,3798.169486
172.368516,26,3804.365921
170.110388,24,3810.046932
202.302313,30,3817.090377
262.449286,37,3825.987781
173.365534,26,3831.784504
205.142342,31,3839.234777
198.148389,29,3846.080999
277.445019,39,3855.217383
270.999498,35,3863.738338
227.03759,34,3871.891618
234.697923,34,3879.372007
220.161045,32,3886.793923
215.092007,30,3893.897059
257.320587,34,3901.882509
230.715044,31,3908.822028
194.237755,28,3915.106954
234.83286,36,3923.695952
191.659825,28,3930.237945
222.658543,35,3938.34961
241.394611,37,3947.259257
231.284791,35,3955.482008
184.443094,29,3962.231714
213.259631,31,3969.520477
236.433479,35,3977.740954
205.232253,31,3984.774321
282.140355,37,3993.217012
239.007122,32,4000.566405
181.369251,30,4007.550696
222.790091,34,4015.531081
144.699176,24,4021.230215
179.100287,23,4026.718663
240.191265,37,4035.540941
222.295779,33,4043.408419
269.206814,38,4052.246337
290.233536,39,4061.471255
190.336504,29,4068.267424
222.026142,32,4075.867893
229.603473,36,4084.331198
279.19838,40,4093.824543
250.001535,35,4102.551912
200.206075,33,4110.171721
229.107887,35,4118.205267
270.003417,37,4127.115417
262.315349,37,4135.900046
132.17841,21,4140.907336
230.698376,32,4148.444579
261.644209,38,4157.49455
190.279629,31,4164.471071
229.784396,33,4172.114658
131.883271,21,4177.075144
231.043705,34,4184.906301
220.791544,32,4192.600661
253.797737,36,4200.759996
212.944172,27,4207.1108
158.147684,23,4212.522638
150.246127,22,4217.690199
262.922055,35,4225.589056
218.081073,30,4232.585249
202.890256,32,4240.271764
238.504002,32,4248.30731
230.081019,35,4256.431847
192.467235,25,4262.285178
221.328709,30,4269.167242
190.057694,29,4275.914482
253.837516,34,4283.81041
234.214227,33,4291.677251
264.344079,36,4300.182025
251.064701,37,4309.318642
187.293399,26,4315.199827
235.684782,36,4324.075183
222.268345,32,4331.966136
213.842502,29,4338.865566
238.36101,37,4347.586135
203.754306,30,4354.528434
290.453536,40,4363.72185
229.888436,34,4371.825758
254.532103,35,4379.962704
202.170109,26,4385.905724
207.926082,29,4392.524048
118.766811,19,4397.091269
202.145741,26,4403.139827
272.057722,39,4412.500309
202.533939,33,4420.063769
240.81123,35,4428.233983
175.861969,27,4434.455002
219.461636,33,4442.714864
174.577434,24,4448.456489
232.979562,34,4456.386636
256.360707,37,4465.089761
121.235732,16,4468.719963
253.416666,34,4476.739616
216.378795,29,4483.650058
249.550819,37,4492.326062
186.98714,27,4498.411607
245.402818,37,4507.407989
275.401283,38,4516.215313
86.486136,12,4519.147435
250.570999,37,4527.807626
216.226425,33,4536.01183
167.829913,23,4541.384163
261.210115,39,4551.190648
263.468256,37,4560.121378
233.941305,34,4568.355535
238.029879,36,4576.885545
161.021634,23,4582.265576
193.500639,28,4588.712818
257.858161,35,4597.297321
196.760492,26,4603.620804
248.992713,38,4612.729878
197.633389,28,4619.587642
216.444468,31,4626.941528
230.307866,33,4634.946042
222.283424,34,4642.999509
259.534861,34,4650.848053
250.06477,34,4658.974649
208.604039,33,4667.061868
236.949101,37,4675.938052
190.717613,29,4683.208263
155.073874,24,4689.113141
249.977231,35,4697.623554
245.233024,35,4706.080473
215.362996,32,4714.166893
192.748313,28,4720.731526
252.390548,36,4729.711487
217.804621,31,4737.001491
290.975734,40,4746.8188
212.934295,35,4754.955508
228.249142,35,4763.532778
229.831037,33,4771.468648
229.92785,32,4778.915541
149.206208,21,4784.550589
212.168811,29,4791.503228
227.249902,36,4800.103547
215.470106,29,4806.862239
176.930492,27,4813.88331
242.710428,33,4821.797247
252.46269,37,4831.097953
232.996703,33,4839.575922
261.155803,39,4849.533447
293.702684,41,4859.035264
188.963407,27,4865.540952
199.236849,28,4872.119995
252.179684,34,4880.499293
205.324751,30,4888.130779
254.773413,37,4897.154399
243.952717,35,4905.991719
218.700384,33,4914.422341
200.567101,27,4921.237975
225.236239,35,4929.897632
228.656861,34,4938.478936
245.307503,36,4947.783189
197.578869,29,4954.82774
310.609034,41,4964.674657
234.428185,32,4972.455017
197.451692,28,4979.774191
184.828931,27,4985.945711
224.71106,31,4993.196758
195.874139,28,5000.140775
238.941129,34,5008.414949
193.455177,28,5015.14064
199.143844,30,5022.011211
276.857023,40,5032.154414
212.378468,32,5039.632868
209.326189,29,5047.143576
246.992073,36,5056.072223
221.478707,34,5064.207364
265.750895,38,5073.602913
159.89206,22,5078.762658
235.127154,37,5087.920529
185.90987,28,5094.662282
204.863646,29,5101.95999
242.171048,32,5109.933687
204.234855,30,5116.970509
206.804615,28,5124.217923
261.227236,35,5133.001636
156.414089,22,5138.716899
210.020207,30,5145.826337
177.819355,25,5152.274042
196.553181,30,5159.870278
263.861141,37,5169.296597
245.99418,37,5177.819571
316.199417,44,5188.544675
276.980892,39,5197.977654
153.765368,22,5203.396932
184.627653,25,5209.756655
222.563056,30,5216.994157
210.303981,30,5224.204444
207.487487,32,5231.999652
224.525609,30,5239.69416
250.505814,35,5248.225889
251.872452,36,5256.924631
196.366231,29,5263.606827
239.448444,38,5272.796832
216.381271,29,5280.015711
196.070383,31,5287.517509
253.565949,35,5295.680557
251.926687,34,5304.117454
238.56218,35,5312.642741
263.079369,37,5321.498736
233.875387,36,5330.569294
227.095301,31,5338.219386
189.385797,27,5344.758873
223.140031,34,5352.952214
196.026175,30,5360.557689
151.313271,22,5366.224119
267.115786,37,5375.463372
220.556383,29,5382.817394
233.511167,32,5391.03122
264.389115,36,5400.137983
257.245341,40,5410.048667
207.10135,29,5417.559381
203.659261,30,5424.790634
282.871709,39,5434.050112
209.92132,31,5441.358967
231.722225,32,5449.882379
218.568929,30,5457.666508
191.38142,28,5464.637805
195.591583,28,5471.771679
200.832371,31,5479.478367
214.437093,31,5487.769089
180.349035,27,5494.166326
199.60735,31,5501.684632
208.725704,32,5509.621232
189.679923,32,5517.668573
169.033589,26,5524.302264
219.029415,32,5532.239717
235.086283,31,5539.575378
190.324847,27,5546.380158
240.552977,33,5554.550671
147.872122,23,5560.064829
253.607767,37,5569.394597
278.991354,37,5578.776244
188.575019,25,5585.136979
221.410734,31,5593.003623
214.739543,33,5601.078286
232.693729,33,5609.136756
269.280439,39,5619.02994
257.768076,35,5628.175373
278.433593,38,5637.828826
291.058176,41,5648.086417
229.113288,35,5656.333838
280.868298,40,5666.352035
244.926957,37,5675.809604
269.717973,35,5684.33518
222.511155,29,5691.81883
172.419724,26,5698.274073
146.775911,20,5703.299423
183.195044,26,5709.932917
225.904563,33,5718.472738
226.117024,31,5726.327687
241.550084,34,5735.042525
229.043597,35,5743.934307
270.516919,38,5753.7768
208.001477,30,5761.78134
173.536416,27,5768.587911
199.506902,28,5775.666802
151.98374,24,5781.410218
247.113271,35,5790.467781
218.111957,30,5797.630452
166.014661,27,5804.161752
264.716248,38,5813.856336
