# {"t_start": 1713710399.9472961, "env_id": "PctDiscrete-v0"} 
r,l,t
232.502884,31,8.464203
183.812167,27,14.625112
211.719153,32,21.649681
287.218919,42,31.151037
251.760578,33,38.809909
258.934043,35,47.171201
310.099822,42,57.155647
234.827537,38,65.990076
258.041351,38,124.227445
243.354896,33,132.328314
246.070678,34,140.430551
220.218901,32,148.213722
261.15902,34,156.273254
232.891757,33,165.344945
241.778553,31,285.749059
243.502812,36,294.320909
241.088205,34,302.262728
244.193121,33,310.213326
237.641582,34,318.147105
233.293591,34,326.237532
42.099942,7,327.814505
235.51144,32,335.380041
234.027043,33,343.076421
253.677517,35,351.321733
268.620463,37,359.733281
197.014859,30,366.774051
276.642387,39,376.088948
189.245108,26,382.682391
233.414243,32,390.659577
57.070209,10,392.977376
208.130034,34,401.56583
233.15298,32,409.674563
230.29007,35,418.977793
251.177301,35,427.613994
250.056869,39,437.534766
244.776621,33,445.628881
223.790462,33,455.370221
230.912944,31,474.649747
144.910272,22,501.693267
168.661622,25,630.794431
241.335197,31,638.882782
298.307998,41,649.149083
289.468228,40,659.127551
239.478339,32,667.426325
240.096772,35,676.226177
238.334814,36,694.942116
267.910472,39,939.477027
214.430941,29,946.177052
165.644207,23,951.740077
226.059241,33,960.403059
266.239574,39,970.62606
142.735907,20,975.715433
241.288876,32,984.185889
235.267323,35,993.087575
249.900785,37,1002.258354
178.584598,26,1008.858315
265.416761,37,1018.172272
141.280912,21,1023.488396
223.559406,33,1032.113996
235.563429,33,1049.123104
205.54819,30,1079.12524
171.359193,24,1203.232
220.977136,27,1210.019284
205.754097,34,1217.900541
259.500102,37,1226.432937
256.803183,33,1234.814816
237.564542,32,1242.335258
57.262065,10,1244.75168
275.456108,38,1254.489949
198.209306,31,1261.861813
259.701402,36,1271.059416
260.862562,40,1280.094007
257.81838,38,1289.644206
302.626067,44,1299.689206
233.10884,33,1307.511958
213.448342,29,1313.962012
145.876564,20,1318.731606
246.80772,35,1327.028271
227.290814,32,1334.364061
256.213687,36,1342.384133
208.363092,31,1349.562334
200.396519,30,1356.578445
215.24518,35,1364.840329
242.556233,36,1373.017555
192.495114,26,1378.874185
302.776006,43,1388.541016
284.285387,40,1397.771863
213.29892,28,1404.004216
204.926955,27,1410.221527
244.84306,32,1417.642478
188.353817,26,1423.723636
220.40749,32,1430.705314
175.933137,26,1436.455795
186.229718,27,1442.869581
278.391158,40,1452.176893
204.939028,31,1459.196172
210.352419,30,1466.050794
233.772021,33,1473.501497
209.325866,31,1480.513073
263.634981,35,1488.744327
201.337395,31,1495.67717
138.248981,20,1500.039727
240.431264,36,1508.15686
230.095784,34,1516.141355
201.630077,28,1522.511964
231.559691,34,1530.280433
217.625201,33,1537.512974
161.928612,21,1542.136736
108.384939,16,1545.786215
297.650318,40,1554.86614
228.044596,31,1562.262229
256.690939,35,1569.743209
190.99776,25,1575.691524
227.643372,31,1582.742957
238.296866,34,1590.935707
227.97325,33,1598.602535
286.422137,39,1607.856733
263.244164,34,1615.744467
241.292611,35,1623.856387
297.247142,42,1633.591381
232.188301,34,1641.63769
179.213907,25,1648.052473
133.868336,18,1652.142343
215.90905,31,1659.472631
234.247868,32,1666.798643
185.114184,28,1673.345763
193.220134,29,1679.923262
248.847456,34,1687.878105
201.944269,28,1694.157442
273.322751,39,1703.255696
225.696209,32,1710.879281
177.326294,28,1717.274011
248.449511,36,1725.452508
184.405295,25,1731.221632
59.129013,12,1733.900026
221.522407,29,1740.650859
270.737536,38,1749.644279
276.05671,38,1758.741225
191.640824,28,1765.305402
193.858346,28,1771.5048
223.639891,34,1779.370882
236.347808,35,1788.084497
217.878168,30,1795.313628
244.273347,36,1803.574549
209.196047,30,1810.194444
219.496123,32,1817.539336
240.753015,34,1825.300529
232.379725,35,1833.135565
295.530052,37,1841.699831
241.682563,33,1849.595702
227.24557,34,1857.256818
193.679738,31,1864.509219
245.256426,35,1872.540104
218.873569,32,1879.991279
169.33128,23,1885.422877
226.507965,33,1893.097251
273.955741,41,1902.6965
176.123899,27,1909.026985
240.977977,36,1917.755316
234.055142,34,1925.523777
200.958901,33,1933.15747
239.800718,32,1940.936208
213.099169,31,1947.853464
198.371906,31,1955.069916
249.639174,38,1963.864202
255.09247,33,1971.588838
203.349737,29,1978.353022
235.790822,32,1985.770456
257.248047,38,1994.64476
191.79966,30,2001.34881
205.859354,27,2007.873364
271.723143,38,2016.729485
265.503145,41,2026.444691
212.036399,34,2034.225961
231.599156,35,2042.38238
232.33207,36,2051.110126
205.309104,30,2058.16467
253.656874,37,2066.695415
197.747516,29,2073.463127
234.822078,35,2081.697371
228.891361,36,2090.13077
249.314112,37,2098.375869
256.365956,37,2107.008368
190.898324,26,2112.964396
265.823569,39,2122.193002
214.78217,30,2129.060441
223.125265,33,2136.786919
140.116704,22,2141.661274
195.355191,28,2148.386066
228.193715,35,2156.816538
212.930567,31,2163.912877
215.798856,33,2171.537402
186.204234,28,2178.204613
236.972606,35,2186.431657
233.212569,34,2194.439503
234.907498,32,2201.913793
300.95163,43,2212.056987
219.978364,30,2218.77796
212.81377,34,2226.543225
236.317573,33,2234.263468
187.382165,26,2240.157459
233.622003,33,2247.885487
199.83428,28,2254.440503
156.353278,23,2259.63832
220.956661,32,2266.689358
201.38246,30,2273.578029
183.038786,29,2280.461654
221.511508,31,2287.727226
223.107627,32,2295.136026
233.418203,33,2302.867465
227.036562,34,2310.693084
235.349547,35,2318.771205
256.01012,42,2328.615473
219.070132,29,2335.392034
261.12822,38,2344.093087
192.218043,31,2351.430254
266.05333,38,2360.52878
280.49465,39,2369.227996
223.712302,33,2376.815406
222.19371,36,2385.130205
224.098656,32,2392.696445
211.653121,29,2399.399819
216.15674,32,2407.255582
242.4336,35,2415.195118
242.309024,37,2423.658772
207.149684,33,2431.595673
200.836598,30,2438.578119
196.408469,27,2444.824929
222.741511,33,2452.500686
267.395683,36,2460.952947
213.77189,33,2468.741189
250.024589,35,2476.777617
244.422501,36,2485.472245
193.847639,31,2492.586756
205.978062,34,2500.362914
209.051952,31,2507.451236
211.727837,30,2514.681792
251.52326,35,2522.645655
247.501569,34,2530.480474
165.225998,26,2536.410897
197.583063,29,2543.173236
255.558396,38,2551.692384
228.661725,29,2558.512961
251.948266,37,2567.102101
235.794274,32,2574.557293
229.026517,34,2582.585766
277.60215,43,2593.216831
224.140368,30,2600.445353
237.022235,32,2608.051548
250.618154,32,2615.251284
256.15285,34,2622.99433
288.250808,41,2632.643842
223.180775,31,2639.68328
227.916965,32,2647.317435
197.192374,32,2654.937747
229.708228,31,2662.068195
216.400187,34,2670.175174
173.392566,27,2676.611717
203.651265,30,2683.334968
214.109559,30,2690.366114
250.524686,35,2698.683349
253.64041,37,2707.448717
280.715495,36,2715.765434
242.359863,34,2723.821984
245.63296,34,2731.53667
217.327585,33,2739.061219
219.927041,34,2747.012516
55.847782,8,2748.830813
246.025317,38,2757.582088
193.556587,27,2764.167146
231.440007,33,2772.343988
250.847643,32,2779.644716
232.89225,32,2786.945435
290.981426,41,2796.341604
254.446661,36,2804.782708
285.858274,41,2814.172301
251.198492,39,2822.886156
194.459468,31,2830.15117
240.003628,36,2838.505092
200.102937,30,2845.315002
216.00277,34,2853.29841
297.181431,42,2862.947131
195.458599,27,2869.388803
243.549835,36,2877.582775
200.151961,28,2884.075501
242.678024,35,2892.200634
212.839757,32,2899.502912
233.725088,35,2907.716427
246.303355,32,2914.975636
246.185578,33,2922.498517
267.024097,35,2930.540284
231.205212,34,2938.380097
242.735556,33,2945.918561
313.863776,43,2956.363363
226.29062,33,2964.205572
280.744907,37,2972.897611
197.397444,31,2979.951286
250.48965,34,2988.113292
227.167237,32,2995.340936
246.996318,33,3002.979602
165.516486,26,3008.99266
274.606645,42,3018.299793
263.536909,37,3026.666299
215.977022,32,3034.173426
234.616452,34,3042.299879
255.357462,38,3051.585411
216.000353,31,3058.640474
159.814321,23,3064.460748
229.507361,33,3071.928429
230.839137,32,3079.260579
183.349191,25,3085.006045
176.903151,26,3091.304301
206.209459,31,3098.754158
237.857937,35,3106.582836
226.839918,33,3114.040406
229.010431,34,3121.985741
226.0779,31,3129.381682
237.597454,35,3137.597294
197.586738,29,3144.148991
182.337583,29,3150.820047
255.719537,35,3159.102027
241.295922,35,3167.158205
244.654298,34,3175.154316
275.124489,39,3184.113619
228.667272,33,3191.758342
240.805019,34,3199.94367
223.795842,33,3207.63397
216.494113,32,3215.121283
232.169217,34,3223.145046
209.912657,30,3230.178661
204.488767,28,3236.886873
165.658395,24,3242.487499
277.866801,40,3251.676013
212.398544,31,3259.256078
200.946954,26,3265.492033
200.511384,28,3271.989955
247.08455,36,3280.290559
264.759172,43,3290.070506
215.759587,34,3297.609349
292.907968,38,3306.543098
262.032234,38,3315.540041
251.412764,35,3323.703202
230.275241,32,3331.082028
165.576965,28,3337.34637
230.70555,32,3344.781104
221.34316,32,3352.266332
279.442263,39,3361.318904
165.268509,24,3366.654735
268.410806,40,3376.515778
177.104839,26,3382.540668
90.166063,14,3386.016759
242.068049,35,3394.305948
265.588077,38,3403.185109
263.416977,38,3412.071028
249.522332,35,3420.188769
228.227758,33,3427.787556
235.071139,34,3435.725132
269.873596,36,3444.31104
206.551619,30,3451.397643
225.841606,33,3459.079994
229.366188,32,3466.791332
201.686576,28,3473.515451
241.616048,32,3481.360397
235.998172,34,3489.361021
201.98461,31,3496.58976
218.57956,33,3504.363784
200.885768,32,3511.738175
211.80127,32,3519.062229
214.232516,32,3526.654968
130.319525,20,3531.306509
267.240986,37,3540.126595
207.162771,28,3546.690685
213.895221,30,3553.886593
