# {"t_start": 1713710400.3607628, "env_id": "PctDiscrete-v0"} 
r,l,t
216.18257,32,8.300297
247.970039,34,15.97621
223.616886,33,23.42191
168.964718,26,29.088916
186.58097,27,35.197012
220.288337,32,43.01795
150.31354,22,48.225762
168.716302,25,54.432322
266.56249,37,62.94768
221.688704,32,79.131731
210.459575,31,127.031523
182.239921,25,133.269296
292.792516,42,143.435257
204.476397,30,150.384597
185.643075,26,156.472516
192.080422,27,164.370115
253.053541,34,285.347697
127.89703,20,290.130811
233.324411,39,299.284969
246.067714,35,307.762657
193.062436,28,314.200788
182.060023,25,320.104189
237.411599,32,327.630587
197.621232,28,334.327382
253.239741,33,341.800959
190.494877,25,347.809999
209.628653,29,354.36435
207.693143,29,361.051223
233.213994,33,368.818382
242.148079,33,377.00338
225.345044,32,385.09681
239.210981,31,392.610404
232.28707,32,400.616474
260.983949,41,411.03566
179.235059,30,419.100613
187.722667,27,425.75281
190.308512,27,432.746518
267.928879,38,442.222169
238.225152,33,450.45829
254.19092,35,467.662394
203.975334,27,493.856259
218.01032,30,630.63014
240.447372,32,638.891729
227.942592,33,647.137643
280.809996,37,656.477016
284.705624,39,666.585139
247.751456,35,675.459267
234.976748,35,691.847631
237.156969,31,936.905476
252.261662,38,945.388606
270.820514,39,955.118276
215.22991,32,963.347436
275.297279,35,972.288459
283.951424,39,982.724766
223.666656,35,991.578576
212.05153,34,1000.242225
222.907214,33,1008.535073
244.247045,36,1017.494915
245.888465,34,1026.186328
198.934536,30,1034.392444
216.17885,31,1053.111211
245.872623,37,1120.159089
289.03585,40,1210.320267
234.523047,34,1218.325813
238.865581,35,1226.34867
268.409035,38,1235.724899
249.865435,37,1244.710822
284.34849,40,1255.026899
225.280543,33,1262.904003
130.639281,19,1267.795737
151.220383,24,1273.501428
221.614162,31,1280.385742
206.449657,31,1288.480851
210.856352,30,1295.157322
147.534032,22,1300.319802
233.67572,29,1307.101199
245.952779,35,1315.098421
302.917714,44,1325.417591
145.187203,20,1330.159319
217.363657,31,1336.853782
270.491323,38,1345.556993
241.226797,33,1353.454711
235.659756,31,1360.7849
267.461685,36,1368.953372
281.997887,36,1377.026424
232.58394,32,1384.380502
170.058345,23,1389.553081
213.864836,30,1396.48405
215.624239,29,1402.923593
140.954342,21,1407.741982
214.375093,33,1415.604678
253.565432,36,1423.744237
233.68444,30,1430.340942
226.355372,32,1437.370107
210.895681,29,1444.274324
262.240903,37,1452.861291
218.987847,31,1459.879327
298.871414,39,1468.663323
231.447653,33,1476.125134
185.232029,26,1482.056623
198.514878,31,1489.458674
181.863015,30,1496.166325
255.989426,35,1504.215317
201.66559,29,1510.772237
245.283352,35,1518.737673
276.872863,41,1527.915953
232.982511,37,1536.259343
215.419229,33,1543.601478
222.294013,32,1550.710808
245.131654,34,1558.590611
229.401603,32,1565.848552
256.944049,35,1573.901758
164.144361,27,1580.240613
274.797261,37,1588.948485
241.819112,34,1596.839885
245.219983,35,1605.222466
144.802524,19,1609.644829
202.66574,29,1616.192051
196.762511,27,1622.445162
315.360695,42,1632.326641
204.516205,29,1639.122524
229.33836,32,1647.119027
173.991945,29,1653.799351
138.267175,21,1658.764437
268.847264,37,1667.354467
173.078193,22,1672.505112
100.847085,16,1676.226178
200.190785,30,1683.119306
215.983108,31,1690.126416
