# {"t_start": 1713710401.1489747, "env_id": "PctDiscrete-v0"} 
r,l,t
231.119187,33,7.72864
216.730359,30,14.652412
199.031453,28,20.847833
201.09815,30,27.444366
204.953602,31,34.433977
229.18559,35,43.055367
257.5941,37,51.90486
196.559175,30,58.839935
213.646947,33,67.711751
214.13613,28,120.782866
198.653825,30,129.689057
276.918434,40,139.35308
225.844819,33,147.300972
228.402171,34,155.376272
219.551176,31,164.039676
211.240277,31,284.429077
215.605392,29,291.446535
259.745448,38,300.312986
263.864895,40,309.895671
215.475015,31,317.08
257.142409,38,326.004638
197.46589,31,333.340447
221.788907,31,340.364129
214.799901,33,348.286682
158.997697,23,353.418685
252.494221,35,361.502467
222.551895,32,368.930034
177.487319,29,376.267547
157.05215,24,382.33737
169.017935,25,388.505262
221.799631,32,396.344307
205.122244,32,404.534308
213.072636,31,412.517666
302.174958,41,423.125226
221.498404,29,430.530842
196.439001,30,437.962724
189.959235,27,444.546888
166.438207,28,451.830714
229.353234,33,471.661027
238.745064,34,624.877841
152.755884,24,631.71665
221.000265,33,640.20627
182.118248,25,646.496243
237.753017,32,654.466012
205.608962,31,662.331103
198.160656,29,669.663084
190.276342,27,676.89281
210.352428,28,691.809684
291.454919,41,938.371162
250.428454,38,947.060588
224.48587,33,955.612941
264.981344,36,964.877685
201.878743,29,972.31294
239.264712,36,982.000688
259.916244,38,991.631242
215.499892,29,998.977736
270.478417,36,1007.845756
97.798761,15,1011.595589
204.109721,30,1019.398496
237.27326,32,1027.522696
184.012622,26,1034.732008
212.737207,35,1060.13176
317.04534,43,1203.197415
230.284801,35,1211.506117
216.414831,31,1219.036582
142.336217,21,1223.822419
284.196427,41,1233.913348
265.19962,35,1242.321432
249.995634,34,1250.841851
201.299031,27,1257.330071
224.831635,32,1265.543156
177.299504,25,1271.593184
209.160984,31,1278.55473
206.749602,29,1286.195978
176.02891,26,1291.953623
229.869703,32,1299.29951
177.397271,23,1304.847007
238.171654,36,1312.860518
259.30714,37,1321.576332
228.150249,31,1328.963259
206.199113,29,1335.337088
211.931903,30,1342.099403
236.352862,32,1349.85996
257.970019,35,1358.009255
28.397852,6,1359.299296
259.802568,37,1367.840968
213.583312,28,1374.179538
252.934804,34,1381.832109
261.535439,40,1390.929028
236.258404,36,1399.191696
199.603641,31,1406.14169
238.151788,34,1414.15565
218.988494,31,1421.188879
189.600421,29,1427.487074
194.125196,30,1434.290313
278.04369,42,1444.05057
241.652718,35,1452.150211
179.667727,28,1458.483944
204.56822,28,1464.940277
217.548959,31,1471.993406
248.503751,36,1479.996776
199.588311,30,1487.1415
180.05006,28,1493.555326
198.774762,28,1499.708488
201.5369,28,1505.903729
116.421415,18,1510.258015
223.488199,32,1517.593311
209.87189,27,1523.737625
225.76212,33,1531.292816
245.647942,33,1538.344603
229.088064,32,1545.481746
232.762374,34,1553.339562
215.9146,32,1560.817253
217.285117,31,1567.60173
223.569512,30,1574.612679
212.256108,31,1581.640918
241.090612,34,1589.860013
200.627081,27,1596.137074
165.822481,23,1601.696706
216.622469,34,1609.524413
163.806664,25,1615.31089
179.22361,27,1621.535743
215.554967,32,1629.006261
223.487152,33,1636.711434
208.117403,32,1644.672236
219.175458,32,1652.169019
251.266381,35,1660.325186
240.000394,35,1668.47717
167.534414,22,1673.771039
160.957737,23,1678.881026
240.133034,36,1687.229168
279.030251,38,1695.810255
192.961193,30,1702.81037
206.999811,31,1710.157742
199.590509,30,1716.983347
263.304119,36,1725.250054
266.953823,37,1733.785458
215.433891,32,1741.281394
214.913716,31,1748.56497
243.08038,35,1756.929605
265.591808,40,1766.338872
218.189248,32,1773.296217
231.167634,34,1781.560394
265.436236,39,1791.351199
216.875433,28,1797.839741
254.491246,38,1806.286547
193.544017,28,1812.488504
197.624274,28,1818.938729
255.216966,35,1826.823005
202.067824,27,1832.968719
223.665254,33,1840.588679
226.173749,34,1848.75718
204.934143,33,1856.159416
266.56304,40,1865.555309
222.481008,32,1872.804291
227.569344,33,1880.380635
258.285994,35,1888.764797
259.985077,35,1896.867678
291.707601,41,1906.645641
234.500566,33,1914.477473
213.036462,29,1921.274571
177.926029,27,1927.541438
232.889142,33,1935.181674
209.564718,31,1942.328239
222.054767,33,1949.950872
217.890903,31,1956.955209
167.079508,26,1963.147321
170.062649,21,1968.070108
235.501988,33,1975.897341
195.773261,31,1982.98899
264.424406,36,1991.264996
277.764352,38,1999.935806
228.227092,33,2007.987404
304.338889,41,2017.390513
257.706821,36,2026.021726
292.431241,41,2035.295867
232.20381,32,2043.019601
249.182862,34,2051.151054
