Wall time,Step,Value
1713404339.7150729,10,16.284984588623047
1713404383.592909,30,16.396141052246094
1713404405.3627748,40,15.767032623291016
1713404426.8573089,50,15.766169548034668
1713404494.9617698,80,17.402833938598633
1713404538.5270305,100,16.738452911376953
1713404560.395251,110,16.404794692993164
1713404582.449979,120,18.214513778686523
1713404648.6909184,150,17.48693084716797
1713404670.205104,160,16.577720642089844
1713404691.8425658,170,16.18702507019043
1713404735.4072306,190,16.068988800048828
1713404756.9810658,200,17.099287033081055
1713404779.3007379,210,16.00086212158203
1713404823.1066432,230,18.465023040771484
1713404844.7632244,240,16.61908531188965
1713404908.6035216,270,16.74610710144043
1713404930.4351816,280,18.472909927368164
1713404951.9744763,290,17.434646606445312
1713404974.1186278,300,16.935638427734375
1713404995.2666724,310,16.600696563720703
1713405039.4035974,330,17.786157608032227
1713405061.9554515,340,16.780649185180664
1713405083.3131814,350,17.18570327758789
1713405127.2831929,370,18.13278579711914
1713405149.1806142,380,16.15948486328125
1713405171.1108186,390,16.593372344970703
1713405193.0906527,400,17.4789981842041
1713405214.9413745,410,16.93443489074707
1713405279.24362,440,16.515226364135742
1713405367.3564358,480,17.40824317932129
1713405390.0998309,490,17.423118591308594
1713405412.1709988,500,17.717369079589844
1713405434.8521607,510,16.53682518005371
1713405456.3064153,520,16.88294219970703
1713405478.344256,530,18.22279167175293
1713405500.8097153,540,16.941614151000977
1713405522.4727726,550,16.030366897583008
1713405543.4485161,560,16.275875091552734
1713405586.9248538,580,18.974369049072266
1713405653.318124,610,16.390710830688477
1713405675.5231507,620,16.64447593688965
1713405697.4112515,630,18.124595642089844
1713405719.7359433,640,17.318273544311523
1713405764.0202363,660,17.222219467163086
1713405786.184622,670,16.841873168945312
1713405808.1779628,680,17.031015396118164
1713405829.3933697,690,16.45701789855957
1713405872.411925,710,17.43781280517578
1713405894.3737204,720,16.478675842285156
1713405938.1690962,740,17.131790161132812
1713405982.7182543,760,16.45517349243164
1713406026.1571531,780,17.240623474121094
1713406048.2850323,790,17.086566925048828
1713406069.1716514,800,16.89658546447754
1713406090.9174783,810,15.806498527526855
1713406111.9262927,820,17.078166961669922
1713406133.5729275,830,16.698162078857422
1713406154.8430421,840,17.18641471862793
1713406198.5445335,860,15.52468490600586
1713406220.471851,870,17.269811630249023
1713406242.2048402,880,17.655298233032227
1713406286.2310796,900,16.74115562438965
1713406308.5016842,910,16.6084041595459
1713406352.5273848,930,16.95977783203125
1713406396.0812917,950,17.07126808166504
1713406418.321701,960,17.798694610595703
1713406440.6215286,970,16.680908203125
1713406507.8052263,1000,16.67519187927246
1713406529.0959008,1010,16.70869255065918
1713406593.3684611,1040,17.773046493530273
1713406614.9844384,1050,17.5202579498291
1713406658.4464886,1070,16.755903244018555
1713406680.6280606,1080,17.323665618896484
1713406702.6187596,1090,17.738100051879883
1713406723.9159734,1100,17.167638778686523
1713406745.7771566,1110,16.391307830810547
1713406768.0011325,1120,18.2067928314209
1713406790.5781438,1130,17.13905143737793
1713406834.2982702,1150,17.032093048095703
1713406856.80187,1160,17.060142517089844
1713406878.44294,1170,16.787145614624023
1713406900.875768,1180,17.550575256347656
1713406966.407586,1210,17.117046356201172
1713406988.177615,1220,17.31788444519043
1713407074.755398,1260,18.159353256225586
1713407096.840648,1270,16.924758911132812
1713407140.2729328,1290,17.98385238647461
1713407161.7163754,1300,17.023935317993164
1713407183.047968,1310,17.08019256591797
1713407205.5711336,1320,15.87782096862793
1713407227.4735532,1330,18.044370651245117
1713407271.6054726,1350,16.454082489013672
1713407314.649941,1370,16.758100509643555
1713407336.5486915,1380,17.571535110473633
1713407358.499653,1390,16.809606552124023
1713407381.2600272,1400,16.14446449279785
1713407403.2093546,1410,16.360429763793945
1713407425.9291675,1420,16.1783447265625
1713407470.1794755,1440,18.251157760620117
1713407492.3237593,1450,17.149944305419922
1713407514.190778,1460,18.62037467956543
1713407535.767508,1470,18.467849731445312
1713407557.4584255,1480,17.418241500854492
1713407622.9506867,1510,18.099088668823242
1713407710.7091155,1550,17.448274612426758
1713407755.174955,1570,16.945873260498047
1713407777.068845,1580,16.803054809570312
1713407798.7731175,1590,17.236377716064453
1713407820.5188406,1600,17.52490997314453
1713407842.525346,1610,17.0132999420166
1713407886.1403127,1630,15.9130220413208
1713407908.1383996,1640,17.73097801208496
