Wall time,Step,Value
1713366111.6984348,10,16.704723358154297
1713366151.1534877,30,16.2266845703125
1713366170.4507504,40,17.15084457397461
1713366189.990346,50,16.700193405151367
1713366305.7598574,110,16.001222610473633
1713366325.5000231,120,17.0465145111084
1713366385.3879752,150,16.813091278076172
1713366404.868259,160,15.746041297912598
1713366464.1715925,190,17.075300216674805
1713366483.7301435,200,16.050827026367188
1713366503.9427974,210,18.195053100585938
1713366544.7757678,230,16.58776092529297
1713366563.9580474,240,16.060941696166992
1713366623.255535,270,17.787494659423828
1713366643.1218822,280,16.211212158203125
1713366682.4668596,300,16.38262176513672
1713366759.1742034,340,17.146800994873047
1713366778.3409672,350,15.874205589294434
1713366817.6192412,370,16.744937896728516
1713366836.9228463,380,16.580154418945312
1713366856.7586503,390,16.867433547973633
1713366876.1409168,400,16.479455947875977
1713366895.8884065,410,16.784404754638672
1713367031.708738,480,17.933210372924805
1713367050.2261796,490,16.36582374572754
1713367070.6885135,500,16.930416107177734
1713367090.5990453,510,18.053068161010742
1713367110.7318594,520,15.558780670166016
1713367130.123261,530,17.329818725585938
1713367170.118648,550,17.81950569152832
1713367189.9101944,560,16.359498977661133
1713367228.8816195,580,15.273154258728027
1713367287.7939024,610,16.53396987915039
1713367307.2957199,620,17.667043685913086
1713367326.7861733,630,17.207054138183594
1713367346.4570546,640,16.57210350036621
1713367385.4098158,660,16.878883361816406
1713367405.7425091,670,17.19169044494629
1713367424.9422553,680,15.577143669128418
1713367444.6676216,690,16.905485153198242
1713367483.8041883,710,16.096445083618164
1713367503.3907576,720,17.102479934692383
1713367542.0473084,740,16.538843154907227
1713367580.7655463,760,16.955442428588867
1713367620.1402826,780,16.856733322143555
1713367659.2408864,800,16.6148624420166
1713367679.0974886,810,17.109233856201172
1713367717.1335633,830,17.105680465698242
1713367737.4130507,840,17.326560974121094
1713367775.6707332,860,18.125268936157227
1713367795.1786213,870,16.262893676757812
1713367853.6560674,900,17.724729537963867
1713367872.865811,910,15.681014060974121
1713367970.8782456,960,16.52362632751465
1713368049.3436935,1000,16.24024200439453
1713368068.3194296,1010,16.998952865600586
1713368127.1671185,1040,17.29370880126953
1713368184.3404164,1070,16.201000213623047
1713368204.0295863,1080,16.961030960083008
1713368242.3910282,1100,17.18670654296875
1713368261.2766635,1110,16.885047912597656
1713368339.5001955,1150,17.368675231933594
1713368378.270922,1170,16.587478637695312
1713368476.498088,1220,16.677574157714844
1713368554.4500952,1260,15.950190544128418
1713368573.8644547,1270,16.780603408813477
1713368612.9708798,1290,17.346466064453125
1713368632.3162878,1300,16.944726943969727
1713368652.1621785,1310,16.2203311920166
1713368671.7215185,1320,17.22861099243164
1713368690.9255579,1330,16.449705123901367
1713368729.768722,1350,16.279417037963867
1713368768.8456705,1370,17.54806137084961
1713368788.554697,1380,16.583900451660156
1713368904.1880157,1440,16.10662269592285
1713368923.5731885,1450,17.050859451293945
1713368962.2713528,1470,17.403648376464844
1713368981.3322356,1480,17.724876403808594
1713369040.1936445,1510,18.032363891601562
1713369174.8274276,1580,18.243518829345703
1713369213.4406369,1600,18.385028839111328
1713369232.5968812,1610,18.74750328063965
1713369271.442755,1630,16.730710983276367
1713369310.4102645,1650,16.36701011657715
1713369349.3637853,1670,15.805107116699219
1713369428.6273055,1710,16.111215591430664
1713369448.5169659,1720,16.96089744567871
1713369467.6580973,1730,16.682294845581055
1713369526.4689767,1760,16.667503356933594
1713369545.720315,1770,16.904644012451172
1713369564.9047792,1780,16.15566062927246
1713369584.320006,1790,16.54295539855957
1713369623.580121,1810,15.866724967956543
1713369642.963808,1820,17.803497314453125
1713369681.8442433,1840,17.60725212097168
1713369701.0515113,1850,16.603580474853516
1713369720.457699,1860,14.972817420959473
1713369739.938549,1870,15.405387878417969
1713369799.1880577,1900,16.116497039794922
1713369819.3824933,1910,16.958023071289062
1713369838.2258236,1920,18.174245834350586
1713369857.6523678,1930,17.118026733398438
1713369914.404832,1960,17.796268463134766
1713369973.9159625,1990,15.626554489135742
1713369993.072886,2000,16.01997947692871
1713370012.865436,2010,17.031259536743164
1713370052.51018,2030,15.742883682250977
1713370071.8893878,2040,18.32674789428711
1713370091.4013693,2050,16.15906524658203
1713370110.5889056,2060,17.5517578125
1713370150.111873,2080,17.51973533630371
